ticker,SIXFQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.6797
2000-01-04,-7.4157
2000-01-05,-0.9709
2000-01-06,3.1863
2000-01-07,2.3753
2000-01-10,2.0882
2000-01-11,-5.0
2000-01-12,-2.1531000000000002
2000-01-13,3.6675
2000-01-14,0.0
2000-01-18,-0.2358
2000-01-19,-0.7092
2000-01-20,-3.3333
2000-01-21,1.4778
2000-01-24,2.1845
2000-01-25,2.6128
2000-01-26,-0.9259
2000-01-27,5.8411
2000-01-28,-0.2208
2000-01-31,-0.6637
2000-02-01,-9.1314
2000-02-02,0.7353
2000-02-03,4.1363
2000-02-04,-1.6355
2000-02-07,-3.3254
2000-02-08,-0.2457
2000-02-09,-4.9261
2000-02-10,1.0363
2000-02-11,3.8462
2000-02-14,-1.4815
2000-02-15,-3.7594
2000-02-16,0.2604
2000-02-17,4.9351
2000-02-18,-0.7426
2000-02-22,-2.4938000000000002
2000-02-23,0.2558
2000-02-24,-0.5102
2000-02-25,-11.0256
2000-02-28,-8.6455
2000-02-29,2.8391
2000-03-01,2.7607
2000-03-02,6.2687
2000-03-03,1.6854
2000-03-06,-8.2873
2000-03-07,-1.2048
2000-03-08,-0.6098
2000-03-09,-0.6135
2000-03-10,-3.7037
2000-03-13,0.9615
2000-03-14,1.2698
2000-03-15,0.0
2000-03-16,14.1066
2000-03-17,-0.2747
2000-03-20,-4.1322
2000-03-21,0.8621
2000-03-22,0.2849
2000-03-23,-3.4091
2000-03-24,1.7647
2000-03-27,0.0
2000-03-28,-4.9133
2000-03-29,3.3435
2000-03-30,-1.7647
2000-03-31,0.5988
2000-04-03,-0.8929
2000-04-04,3.6036
2000-04-05,7.8261
2000-04-06,6.9892
2000-04-07,0.5025
2000-04-10,0.75
2000-04-11,-2.9777
2000-04-12,-2.3018
2000-04-13,-1.3089
2000-04-14,-2.122
2000-04-17,-11.3821
2000-04-18,-2.1407
2000-04-19,18.75
2000-04-20,-2.3684
2000-04-24,-7.2776
2000-04-25,1.7442
2000-04-26,3.1429
2000-04-27,-6.3712
2000-04-28,2.071
2000-05-01,9.8551
2000-05-02,2.3747
2000-05-03,-4.6392
2000-05-04,5.4054
2000-05-05,1.2821
2000-05-08,0.7595
2000-05-09,2.2613
2000-05-10,0.7371
2000-05-11,3.9024
2000-05-12,1.1737
2000-05-15,1.8561
2000-05-16,2.5057
2000-05-17,-10.8889
2000-05-18,4.2394
2000-05-19,-1.6745999999999999
2000-05-22,-3.8929
