ticker,ALB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.1889
2000-01-04,0.0
2000-01-05,1.7361
2000-01-06,3.413
2000-01-07,-1.6502
2000-01-10,-0.3356
2000-01-11,-0.3367
2000-01-12,0.6757
2000-01-13,1.3423
2000-01-14,-1.9868000000000001
2000-01-18,-2.027
2000-01-19,0.3448
2000-01-20,-1.3746
2000-01-21,1.3937
2000-01-24,-1.7182
2000-01-25,-4.1958
2000-01-26,3.6496
2000-01-27,1.7606000000000002
2000-01-28,-2.4221
2000-01-31,2.4823
2000-02-01,-2.7682
2000-02-02,0.3559
2000-02-03,0.0
2000-02-04,-1.4184
2000-02-07,0.0
2000-02-08,-1.4388
2000-02-09,-1.4599
2000-02-10,0.0
2000-02-11,-5.1852
2000-02-14,2.7344
2000-02-15,2.6616
2000-02-16,-3.7037
2000-02-17,1.5385
2000-02-18,-3.4091
2000-02-22,0.0
2000-02-23,-1.1764999999999999
2000-02-24,-2.3810000000000002
2000-02-25,-0.4065
2000-02-28,0.0
2000-02-29,-1.6327
2000-03-01,-3.3195
2000-03-02,2.5751
2000-03-03,0.4184
2000-03-06,3.75
2000-03-07,-3.6145
2000-03-08,5.0
2000-03-09,-1.9841
2000-03-10,3.6437
2000-03-13,-1.2656
2000-03-14,0.7968
2000-03-15,9.0909
2000-03-16,7.6087
2000-03-17,2.0202
2000-03-20,3.6304
2000-03-21,0.6369
2000-03-22,-4.7468
2000-03-23,-0.6645
2000-03-24,1.0033
2000-03-27,0.0
2000-03-28,-2.9801
2000-03-29,-2.0478
2000-03-30,6.6202
2000-03-31,8.4967
2000-04-03,-3.6145
2000-04-04,1.25
2000-04-05,-3.3951000000000002
2000-04-06,1.5974
2000-04-07,2.2013
2000-04-10,-2.4615
2000-04-11,0.9464
2000-04-12,-0.3125
2000-04-13,0.0
2000-04-14,-0.3135
2000-04-17,-1.8868
2000-04-18,-2.8846
2000-04-19,2.9703
2000-04-20,2.2436
2000-04-24,3.1348
2000-04-25,2.7356
2000-04-26,-3.8462
2000-04-27,3.3846
2000-04-28,-0.2976
2000-05-01,1.194
2000-05-02,0.59
2000-05-03,4.1056
2000-05-04,-3.0986
2000-05-05,0.8721
2000-05-08,1.4409
2000-05-09,0.0
2000-05-10,-1.9886
2000-05-11,1.7391
2000-05-12,-0.2849
2000-05-15,0.2857
2000-05-16,3.9886
2000-05-17,-2.1918
2000-05-18,2.521
2000-05-19,-0.5464
2000-05-22,1.3736
2000-05-23,0.813
