ticker,SWY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.021
2000-01-04,0.5464
2000-01-05,3.7931
2000-01-06,-4.1781
2000-01-07,4.1894
2000-01-10,-1.049
2000-01-11,2.6502
2000-01-12,4.8193
2000-01-13,3.9409
2000-01-14,-3.9494
2000-01-18,-2.7961
2000-01-19,-1.8613
2000-01-20,-4.8276
2000-01-21,-6.3406
2000-01-24,2.5145
2000-01-25,-3.7736
2000-01-26,-1.1764999999999999
2000-01-27,13.4921
2000-01-28,3.8462
2000-01-31,3.0303
2000-02-01,1.9607999999999999
2000-02-02,-0.641
2000-02-03,-0.6452
2000-02-04,1.2987
2000-02-07,-1.6026
2000-02-08,-0.8143
2000-02-09,-1.3136
2000-02-10,-1.6639
2000-02-11,-0.6768
2000-02-14,0.1704
2000-02-15,0.3401
2000-02-16,1.8643999999999998
2000-02-17,0.8319
2000-02-18,-0.1752
2000-02-22,0.6715
2000-02-23,-0.821
2000-02-24,-1.9868000000000001
2000-02-25,5.4054
2000-02-28,0.9615
2000-02-29,-2.0635
2000-03-01,-1.7828
2000-03-02,-4.1254
2000-03-03,0.3442
2000-03-06,-2.7443999999999997
2000-03-07,-1.4109
2000-03-08,5.7245
2000-03-09,-2.5381
2000-03-10,-2.6042
2000-03-13,5.1693
2000-03-14,-2.0339
2000-03-15,7.9585
2000-03-16,3.5256
2000-03-17,-0.774
2000-03-20,-5.1482
2000-03-21,10.0329
2000-03-22,4.0359
2000-03-23,-2.8736
2000-03-24,1.0355
2000-03-27,-3.9531
2000-03-28,-1.5244
2000-03-29,7.7399000000000004
2000-03-30,0.8621
2000-03-31,3.1339
2000-04-03,7.7348
2000-04-04,-1.0256
2000-04-05,-4.1451
2000-04-06,-1.8919000000000001
2000-04-07,3.4435000000000002
2000-04-10,1.7309999999999999
2000-04-11,3.1414
2000-04-12,0.7614
2000-04-13,-9.068
2000-04-14,-0.4155
2000-04-17,-1.9471
2000-04-18,1.2766
2000-04-19,5.4622
2000-04-20,0.1328
2000-04-24,4.9072
2000-04-25,-1.8963
2000-04-26,-2.0619
2000-04-27,-1.0526
2000-04-28,-6.117
2000-05-01,-0.9915
2000-05-02,0.7153
2000-05-03,-3.6932
2000-05-04,1.7699
2000-05-05,-0.2899
2000-05-08,-0.7267
2000-05-09,6.0029
2000-05-10,2.0718
2000-05-11,4.6008
2000-05-12,-6.4683
2000-05-15,-0.4149
2000-05-16,2.3611
2000-05-17,-2.578
2000-05-18,-0.9749
