ticker,UB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.5468
2000-01-04,-5.3690999999999995
2000-01-05,1.7730000000000001
2000-01-06,0.3484
2000-01-07,-0.8681
2000-01-10,-0.3503
2000-01-11,-2.4605
2000-01-12,0.0
2000-01-13,-0.1802
2000-01-14,2.5271
2000-01-18,-2.4648
2000-01-19,-0.9025
2000-01-20,0.5464
2000-01-21,-2.5362
2000-01-24,-3.9032999999999998
2000-01-25,0.3868
2000-01-26,2.8902
2000-01-27,6.7416
2000-01-28,-1.5789
2000-01-31,1.426
2000-02-01,2.9877000000000002
2000-02-02,-3.5836
2000-02-03,-0.885
2000-02-04,0.0
2000-02-07,2.3214
2000-02-08,1.7452
2000-02-09,-3.4305
2000-02-10,-3.0195
2000-02-11,2.7473
2000-02-14,-1.426
2000-02-15,3.0741
2000-02-16,-1.7544
2000-02-17,-1.4285999999999999
2000-02-18,-3.2609
2000-02-22,0.0
2000-02-23,0.5618
2000-02-24,-0.5587
2000-02-25,-4.4944
2000-02-28,3.3333
2000-02-29,-2.4668
2000-03-01,1.5564
2000-03-02,0.7663
2000-03-03,-2.6616
2000-03-06,-1.5625
2000-03-07,-8.1349
2000-03-08,-0.8639
2000-03-09,2.8571
2000-03-10,0.8547
2000-03-13,1.2711999999999999
2000-03-14,-0.2092
2000-03-15,2.935
2000-03-16,0.8147
2000-03-17,-14.3434
2000-03-20,-6.6038
2000-03-21,5.0505
2000-03-22,6.0096
2000-03-23,-1.1338
2000-03-24,-1.1468
2000-03-27,0.232
2000-03-28,2.0833
2000-03-29,-2.2676
2000-03-30,-1.1601
2000-03-31,3.5211
2000-04-03,3.1746
2000-04-04,-2.1978
2000-04-05,-1.7978
2000-04-06,1.1442
2000-04-07,-0.6787
2000-04-10,1.8223
2000-04-11,1.5659999999999998
2000-04-12,1.9824000000000002
2000-04-13,-1.7279
2000-04-14,-8.5714
2000-04-17,1.6827
2000-04-18,-1.182
2000-04-19,-2.6316
2000-04-20,14.4963
2000-04-24,1.073
2000-04-25,3.8217
2000-04-26,-5.5215
2000-04-27,-1.9481000000000002
2000-04-28,-1.9868000000000001
2000-05-01,2.4775
2000-05-02,2.4176
2000-05-03,-2.7897
2000-05-04,0.4415
2000-05-05,-2.1978
2000-05-08,2.9213
2000-05-09,1.0917
2000-05-10,-0.8639
2000-05-11,2.8322000000000003
2000-05-12,2.7542
2000-05-15,0.6186
2000-05-16,-2.0492
2000-05-17,1.046
2000-05-18,1.6562999999999999
