ticker,CNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.6757
2000-01-04,-3.0612
2000-01-05,-4.5614
2000-01-06,-1.1029
2000-01-07,3.7175000000000002
2000-01-10,-1.0753
2000-01-11,-1.4493
2000-01-12,-0.7353
2000-01-13,0.0
2000-01-14,0.7407
2000-01-18,-1.4706000000000001
2000-01-19,-1.4925
2000-01-20,-4.5455
2000-01-21,-1.5873
2000-01-24,-2.4194
2000-01-25,0.8264
2000-01-26,0.0
2000-01-27,0.4098
2000-01-28,-1.2245
2000-01-31,0.0
2000-02-01,-3.3058
2000-02-02,1.2821
2000-02-03,0.4219
2000-02-04,2.521
2000-02-07,-1.2295
2000-02-08,-0.4149
2000-02-09,-2.5
2000-02-10,2.1368
2000-02-11,-1.2551999999999999
2000-02-14,4.661
2000-02-15,0.4049
2000-02-16,-1.2097
2000-02-17,-1.2245
2000-02-18,-0.8264
2000-02-22,1.25
2000-02-23,-0.4115
2000-02-24,-0.4132
2000-02-25,1.6598000000000002
2000-02-28,-0.4082
2000-02-29,-0.8197
2000-03-01,0.4132
2000-03-02,1.2346
2000-03-03,0.4065
2000-03-06,3.6437
2000-03-07,0.7813
2000-03-08,3.1008
2000-03-09,2.2556
2000-03-10,2.5735
2000-03-13,0.3584
2000-03-14,1.0714
2000-03-15,-0.7067
2000-03-16,2.1352
2000-03-17,1.7422
2000-03-20,0.3425
2000-03-21,-1.3652
2000-03-22,1.0381
2000-03-23,5.1370000000000005
2000-03-24,1.9544000000000001
2000-03-27,-3.5144
2000-03-28,1.3245
2000-03-29,0.0
2000-03-30,-0.9804
2000-03-31,-0.6601
2000-04-03,4.9834
2000-04-04,-3.1646
2000-04-05,0.3268
2000-04-06,-0.6515
2000-04-07,0.0
2000-04-10,-0.3279
2000-04-11,0.0
2000-04-12,1.3158
2000-04-13,-0.974
2000-04-14,-0.3279
2000-04-17,1.3158
2000-04-18,1.9481000000000002
2000-04-19,-3.1847
2000-04-20,0.3289
2000-04-24,0.3279
2000-04-25,0.6536
2000-04-26,-0.3247
2000-04-27,0.3257
2000-04-28,-0.6494
2000-05-01,3.268
2000-05-02,-0.6329
2000-05-03,-2.8662
2000-05-04,0.0
2000-05-05,-0.3279
2000-05-08,-1.9737
2000-05-09,-2.6846
2000-05-10,0.6897
2000-05-11,0.3425
2000-05-12,-0.3413
2000-05-15,1.0274
2000-05-16,1.0169
2000-05-17,-1.6779
2000-05-18,-0.3413
2000-05-19,-0.6849
2000-05-22,-3.1034
