ticker,CNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.8891999999999998
2000-01-04,-3.1405
2000-01-05,0.3413
2000-01-06,-1.0204
2000-01-07,3.6082
2000-01-10,-2.1559
2000-01-11,-0.5085
2000-01-12,0.5111
2000-01-13,0.678
2000-01-14,-1.5152
2000-01-18,-1.3675
2000-01-19,-2.253
2000-01-20,-1.4184
2000-01-21,-0.3597
2000-01-24,-1.9856
2000-01-25,-1.4733
2000-01-26,2.243
2000-01-27,-1.6453
2000-01-28,-0.7435
2000-01-31,1.4981
2000-02-01,-0.9225
2000-02-02,-0.1862
2000-02-03,0.7463
2000-02-04,0.7407
2000-02-07,-3.4926
2000-02-08,-2.6667
2000-02-09,-2.1526
2000-02-10,-2.4
2000-02-11,-1.6393
2000-02-14,-2.0833
2000-02-15,-2.9787
2000-02-16,-1.3158
2000-02-17,-0.2222
2000-02-18,-0.4454
2000-02-22,-2.6846
2000-02-23,1.8391
2000-02-24,-4.2889
2000-02-25,0.2358
2000-02-28,1.6471
2000-02-29,0.0
2000-03-01,-0.2315
2000-03-02,-0.9281
2000-03-03,0.7026
2000-03-06,-3.4884
2000-03-07,-3.1325
2000-03-08,-1.4925
2000-03-09,5.0505
2000-03-10,0.2404
2000-03-13,-1.9184999999999999
2000-03-14,2.445
2000-03-15,4.0573
2000-03-16,4.5872
2000-03-17,0.0
2000-03-20,-2.6316
2000-03-21,6.3063
2000-03-22,0.8475
2000-03-23,3.5714
2000-03-24,1.6227
2000-03-27,-2.1955999999999998
2000-03-28,2.2449
2000-03-29,-1.1976
2000-03-30,2.4242
2000-03-31,1.9724
2000-04-03,-0.1934
2000-04-04,-2.3256
2000-04-05,0.9921
2000-04-06,-0.3929
2000-04-07,-1.7751000000000001
2000-04-10,-1.6064
2000-04-11,-0.2041
2000-04-12,-0.6135
2000-04-13,-1.0288
2000-04-14,-7.0686
2000-04-17,5.8166
2000-04-18,2.9598
2000-04-19,-0.2053
2000-04-20,-0.4115
2000-04-24,-0.4132
2000-04-25,4.7718
2000-04-26,-0.9901
2000-04-27,-2.6
2000-04-28,1.0267
2000-05-01,2.0325
2000-05-02,-1.992
2000-05-03,-4.878
2000-05-04,0.0
2000-05-05,0.4274
2000-05-08,-0.6383
2000-05-09,-1.0707
2000-05-10,-1.7316
2000-05-11,11.2335
2000-05-12,0.5941
2000-05-15,6.4961
2000-05-16,-1.8484
2000-05-17,-1.5066000000000002
2000-05-18,2.8681
2000-05-19,-2.6022
