ticker,COG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.7821
2000-01-04,-2.9536
2000-01-05,1.7391
2000-01-06,2.1368
2000-01-07,4.1841
2000-01-10,-3.6145
2000-01-11,-3.75
2000-01-12,-1.7316
2000-01-13,0.4405
2000-01-14,1.7544
2000-01-18,5.1724
2000-01-19,-0.4098
2000-01-20,0.4115
2000-01-21,0.4098
2000-01-24,-3.6734999999999998
2000-01-25,0.0
2000-01-26,6.7797
2000-01-27,-4.3651
2000-01-28,-0.4149
2000-01-31,-1.6667
2000-02-01,3.8136
2000-02-02,0.0
2000-02-03,2.8571
2000-02-04,-0.3968
2000-02-07,0.0
2000-02-08,-1.992
2000-02-09,-0.9593
2000-02-10,2.4691
2000-02-11,-2.008
2000-02-14,-0.8197
2000-02-15,0.4132
2000-02-16,0.0
2000-02-17,-2.0576
2000-02-18,-2.521
2000-02-22,-1.2931
2000-02-23,-0.8734
2000-02-24,1.7621
2000-02-25,2.5974
2000-02-28,1.6878
2000-02-29,4.9793
2000-03-01,2.7668
2000-03-02,3.0769
2000-03-03,1.1194
2000-03-06,1.476
2000-03-07,4.0
2000-03-08,-1.7483
2000-03-09,-1.7793999999999999
2000-03-10,0.0
2000-03-13,1.087
2000-03-14,0.7168
2000-03-15,-2.847
2000-03-16,0.7326
2000-03-17,0.3636
2000-03-20,-2.5362
2000-03-21,3.7175000000000002
2000-03-22,1.0753
2000-03-23,-1.7730000000000001
2000-03-24,0.0
2000-03-27,-2.5271
2000-03-28,-1.1111
2000-03-29,4.8689
2000-03-30,2.8571
2000-03-31,0.3472
2000-04-03,0.346
2000-04-04,-7.5862
2000-04-05,2.9851
2000-04-06,1.4493
2000-04-07,-2.1429
2000-04-10,-1.4599
2000-04-11,1.4815
2000-04-12,4.3796
2000-04-13,0.6993
2000-04-14,-2.7778
2000-04-17,0.3571
2000-04-18,1.7793999999999999
2000-04-19,-2.0979
2000-04-20,2.5
2000-04-24,0.3484
2000-04-25,3.8194
2000-04-26,-1.6722000000000001
2000-04-27,2.3810000000000002
2000-04-28,-1.3289
2000-05-01,3.367
2000-05-02,-1.6287
2000-05-03,-2.3179
2000-05-04,-1.6949
2000-05-05,1.3793
2000-05-08,2.3810000000000002
2000-05-09,5.6478
2000-05-10,-0.9434
2000-05-11,6.6667
2000-05-12,-1.1905000000000001
2000-05-15,4.2169
2000-05-16,0.289
2000-05-17,1.6254
2000-05-18,3.125
2000-05-19,-2.2039
2000-05-22,-0.8451
