ticker,WLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-3.1274
2000-01-05,1.4961
2000-01-06,1.474
2000-01-07,6.2691
2000-01-10,-1.5108000000000001
2000-01-11,0.3652
2000-01-12,1.0917
2000-01-13,5.8315
2000-01-14,1.9727999999999999
2000-01-18,-3.936
2000-01-19,5.3472
2000-01-20,-2.0435
2000-01-21,-0.9421
2000-01-24,-4.4158
2000-01-25,0.0
2000-01-26,0.7107
2000-01-27,1.2703
2000-01-28,1.6028
2000-01-31,4.1838
2000-02-01,0.9875
2000-02-02,-0.1408
2000-02-03,-2.0942
2000-02-04,1.1364
2000-02-07,2.9081
2000-02-08,2.569
2000-02-09,-2.6925
2000-02-10,-3.6036
2000-02-11,-3.8718
2000-02-14,2.0833
2000-02-15,1.9048
2000-02-16,-2.5366999999999997
2000-02-17,-1.0959
2000-02-18,-2.3546
2000-02-22,0.1773
2000-02-23,-0.885
2000-02-24,0.5
2000-02-25,-1.0661
2000-02-28,-1.6522999999999999
2000-02-29,0.0
2000-03-01,-1.1687
2000-03-02,-0.0739
2000-03-03,1.3314
2000-03-06,-1.6058
2000-03-07,-5.0445
2000-03-08,7.2656
2000-03-09,6.6278
2000-03-10,0.9563
2000-03-13,-0.7442
2000-03-14,-3.0675
2000-03-15,5.7665
2000-03-16,3.0585
2000-03-17,-1.6129
2000-03-20,-0.0656
2000-03-21,-0.2625
2000-03-22,-1.4474
2000-03-23,0.4005
2000-03-24,-0.9973
2000-03-27,-1.276
2000-03-28,1.4285999999999999
2000-03-29,3.4205
2000-03-30,-0.3891
2000-03-31,1.7578
2000-04-03,4.2866
2000-04-04,3.681
2000-04-05,-2.8402
2000-04-06,0.3654
2000-04-07,0.9102
2000-04-10,3.2471
2000-04-11,0.1747
2000-04-12,0.5814
2000-04-13,-1.0405
2000-04-14,-5.1402
2000-04-17,1.3547
2000-04-18,4.4957
2000-04-19,7.2
2000-04-20,-1.3587
2000-04-24,4.1322
2000-04-25,0.2116
2000-04-26,-0.3168
2000-04-27,-1.1123
2000-04-28,-1.714
2000-05-01,-0.4905
2000-05-02,2.5739
2000-05-03,-0.4805
2000-05-04,0.3755
2000-05-05,4.543
2000-05-08,2.3486000000000002
2000-05-09,-2.9784
2000-05-10,-2.4198
2000-05-11,-1.6818
2000-05-12,0.6943
2000-05-15,1.7387000000000001
2000-05-16,1.1001
2000-05-17,0.4145
2000-05-18,1.7544
2000-05-19,-2.2312
2000-05-22,-0.9336
2000-05-23,1.0471
2000-05-24,0.8808
2000-05-25,2.1058
2000-05-26,-1.006
2000-05-30,-1.1687
2000-05-31,0.4627
2000-06-01,2.0471
2000-06-02,-3.7613
2000-06-05,-2.2408
2000-06-06,1.1727
2000-06-07,0.7376
2000-06-08,1.2551999999999999
2000-06-09,2.4277
2000-06-12,-0.706
2000-06-13,2.2854
2000-06-14,2.0357
2000-06-15,0.9732
2000-06-16,0.9639
2000-06-19,-0.9069
