ticker,RNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9174
2000-01-04,-2.3148
2000-01-05,0.4739
2000-01-06,-0.6289
2000-01-07,1.1076
2000-01-10,-0.313
2000-01-11,-0.6279
2000-01-12,1.1058
2000-01-13,0.1562
2000-01-14,0.312
2000-01-18,1.0886
2000-01-19,-1.2308
2000-01-20,-0.3115
2000-01-21,1.875
2000-01-24,-0.6135
2000-01-25,-0.463
2000-01-26,-1.0853
2000-01-27,-1.5674000000000001
2000-01-28,-1.2739
2000-01-31,0.4839
2000-02-01,3.3708
2000-02-02,-3.1056
2000-02-03,1.4423
2000-02-04,0.0
2000-02-07,-0.6319
2000-02-08,-2.8617
2000-02-09,0.3273
2000-02-10,-0.9788
2000-02-11,-3.4596
2000-02-14,1.3652
2000-02-15,2.0202
2000-02-16,0.0
2000-02-17,0.6667
2000-02-18,1.8212000000000002
2000-02-22,-1.626
2000-02-23,-0.8264
2000-02-24,-0.1667
2000-02-25,0.1669
2000-02-28,0.3333
2000-02-29,0.6645
2000-03-01,0.6601
2000-03-02,-0.8197
2000-03-03,-1.6529
2000-03-06,-1.6806999999999999
2000-03-07,-1.7094
2000-03-08,0.8696
2000-03-09,-0.6897
2000-03-10,0.3472
2000-03-13,0.173
2000-03-14,0.8636
2000-03-15,3.7671
2000-03-16,0.9901
2000-03-17,-1.4706000000000001
2000-03-20,-0.8292
2000-03-21,0.5017
2000-03-22,0.6656
2000-03-23,-0.4959
2000-03-24,0.6645
2000-03-27,0.33
2000-03-28,0.4934
2000-03-29,0.1637
2000-03-30,2.9412000000000003
2000-03-31,3.8095
2000-04-03,-0.4587
2000-04-04,-6.6052
2000-04-05,2.3026
2000-04-06,0.8039
2000-04-07,-0.319
2000-04-10,-1.28
2000-04-11,-1.2966
2000-04-12,-0.4926
2000-04-13,-0.33
2000-04-14,-0.4967
2000-04-17,0.1664
2000-04-18,0.9967
2000-04-19,0.3289
2000-04-20,0.3279
2000-04-24,-0.6536
2000-04-25,0.0
2000-04-26,-0.4934
2000-04-27,-0.3306
2000-04-28,-2.4876
2000-05-01,1.5306
2000-05-02,-0.8375
2000-05-03,0.5068
2000-05-04,0.6723
2000-05-05,0.8347
2000-05-08,-0.9934
2000-05-09,1.3378
2000-05-10,0.33
2000-05-11,3.4539
2000-05-12,2.3847
2000-05-15,2.0186
2000-05-16,1.0654
2000-05-17,0.304
2000-05-18,0.7576
2000-05-19,-0.3008
2000-05-22,0.1508
2000-05-23,-0.3012
