ticker,HTV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.7042
2000-01-04,0.6993
2000-01-05,0.2315
2000-01-06,0.0
2000-01-07,-0.2309
2000-01-10,7.6389
2000-01-11,-6.6667
2000-01-12,-0.6912
2000-01-13,0.0
2000-01-14,-1.8561
2000-01-18,0.7092
2000-01-19,-0.939
2000-01-20,1.8957000000000002
2000-01-21,-1.8605
2000-01-24,0.9479
2000-01-25,-1.8779
2000-01-26,-2.6316
2000-01-27,-2.2113
2000-01-28,-0.2513
2000-01-31,-1.7631999999999999
2000-02-01,-1.0256
2000-02-02,0.2591
2000-02-03,-4.6512
2000-02-04,0.271
2000-02-07,-0.5405
2000-02-08,-1.087
2000-02-09,-0.8242
2000-02-10,0.277
2000-02-11,1.105
2000-02-14,-0.2732
2000-02-15,-0.5479
2000-02-16,-2.7548
2000-02-17,-2.8329
2000-02-18,0.0
2000-02-22,-0.8746
2000-02-23,3.2353
2000-02-24,-0.8547
2000-02-25,-2.2989
2000-02-28,-0.5882
2000-02-29,-1.4793
2000-03-01,3.003
2000-03-02,-0.5831
2000-03-03,-1.4663
2000-03-06,0.2976
2000-03-07,-1.4837
2000-03-08,2.4096
2000-03-09,0.5882
2000-03-10,-3.2164
2000-03-13,2.1148
2000-03-14,-0.2959
2000-03-15,-0.2967
2000-03-16,3.5714
2000-03-17,5.7471
2000-03-20,-2.1739
2000-03-21,1.3369
2000-03-22,2.2442
2000-03-23,-3.4853
2000-03-24,1.1111
2000-03-27,-0.2747
2000-03-28,1.1019
2000-03-29,-0.8174
2000-03-30,0.5495
2000-03-31,2.1858
2000-04-03,0.5348
2000-04-04,-4.5213
2000-04-05,-2.7855
2000-04-06,1.7191999999999998
2000-04-07,-0.2817
2000-04-10,-0.565
2000-04-11,-0.5682
2000-04-12,-2.8571
2000-04-13,0.0
2000-04-14,-1.4706000000000001
2000-04-17,-2.3881
2000-04-18,2.1407
2000-04-19,1.1976
2000-04-20,1.1834
2000-04-24,-0.8772
2000-04-25,-6.1947
2000-04-26,2.2013
2000-04-27,1.2308
2000-04-28,3.6474
2000-05-01,-0.5865
2000-05-02,-0.295
2000-05-03,2.3669000000000002
2000-05-04,-2.6012
2000-05-05,-0.5935
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-1.791
2000-05-11,-2.4316
2000-05-12,-1.5575999999999999
2000-05-15,1.2658
2000-05-16,-0.3125
2000-05-17,0.0
2000-05-18,-0.627
2000-05-19,-2.2082
2000-05-22,-0.6452
