ticker,JACK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4169
2000-01-04,-2.4768
2000-01-05,-0.3175
2000-01-06,-0.9554
2000-01-07,0.6431
2000-01-10,6.7093
2000-01-11,2.3952
2000-01-12,0.5848
2000-01-13,5.5233
2000-01-14,1.3774
2000-01-18,-1.9022000000000001
2000-01-19,-3.0471
2000-01-20,2.0
2000-01-21,-1.9607999999999999
2000-01-24,2.5714
2000-01-25,-3.3426
2000-01-26,-2.0173
2000-01-27,0.5882
2000-01-28,-2.3392
2000-01-31,-1.4969999999999999
2000-02-01,3.6474
2000-02-02,-0.5865
2000-02-03,1.4748999999999999
2000-02-04,0.5814
2000-02-07,-4.9133
2000-02-08,1.2158
2000-02-09,-0.9009
2000-02-10,-2.1212
2000-02-11,-2.1672
2000-02-14,2.5316
2000-02-15,-1.2346
2000-02-16,-2.1875
2000-02-17,-1.5974
2000-02-18,-2.5974
2000-02-22,1.3333
2000-02-23,-0.9868
2000-02-24,0.3322
2000-02-25,-0.3311
2000-02-28,1.3289
2000-02-29,5.2459
2000-03-01,-2.1807
2000-03-02,2.5478
2000-03-03,5.5901
2000-03-06,-2.0588
2000-03-07,0.3003
2000-03-08,-2.6946
2000-03-09,1.2308
2000-03-10,-1.2158
2000-03-13,-0.3077
2000-03-14,-1.5432000000000001
2000-03-15,9.0909
2000-03-16,3.7356
2000-03-17,-0.277
2000-03-20,-3.8889
2000-03-21,0.8671
2000-03-22,-6.3037
2000-03-23,0.9174
2000-03-24,-1.5152
2000-03-27,0.9231
2000-03-28,-2.7439
2000-03-29,2.1944
2000-03-30,3.0675
2000-03-31,1.4881
2000-04-03,2.0528
2000-04-04,2.5862
2000-04-05,9.2437
2000-04-06,-1.7949000000000002
2000-04-07,4.4386
2000-04-10,0.5
2000-04-11,1.7412999999999998
2000-04-12,1.7115
2000-04-13,-6.0096
2000-04-14,-2.046
2000-04-17,-3.9164
2000-04-18,4.6196
2000-04-19,1.8182
2000-04-20,1.7856999999999998
2000-04-24,0.2506
2000-04-25,3.0
2000-04-26,0.4854
2000-04-27,-5.314
2000-04-28,0.0
2000-05-01,0.2551
2000-05-02,-1.7812000000000001
2000-05-03,-3.1088
2000-05-04,-0.8021
2000-05-05,2.965
2000-05-08,-3.9267
2000-05-09,3.5422000000000002
2000-05-10,2.1053
2000-05-11,4.3814
2000-05-12,2.716
2000-05-15,1.6827
2000-05-16,1.6548
2000-05-17,-0.4651
2000-05-18,-3.5047
2000-05-19,0.0
