ticker,TFX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.1996
2000-01-04,-2.2
2000-01-05,6.135
2000-01-06,0.0
2000-01-07,3.0829
2000-01-10,2.8037
2000-01-11,-1.4545
2000-01-12,0.369
2000-01-13,3.125
2000-01-14,0.5348
2000-01-18,1.5957
2000-01-19,-0.8726
2000-01-20,-2.4648
2000-01-21,-3.2491
2000-01-24,-3.5448
2000-01-25,1.9342000000000001
2000-01-26,-2.277
2000-01-27,-0.1942
2000-01-28,-0.3891
2000-01-31,-0.7813
2000-02-01,-1.7717
2000-02-02,-3.4068
2000-02-03,1.6598000000000002
2000-02-04,-2.0408
2000-02-07,-1.4583
2000-02-08,-0.6342
2000-02-09,0.0
2000-02-10,0.6383
2000-02-11,-3.1712
2000-02-14,3.0568
2000-02-15,-2.9661
2000-02-16,0.655
2000-02-17,-0.8677
2000-02-18,-0.2188
2000-02-22,-0.8772
2000-02-23,-1.3096999999999999
2000-02-24,-2.9279
2000-02-25,0.9281
2000-02-28,-0.2299
2000-02-29,4.1475
2000-03-01,4.2035
2000-03-02,-2.3355
2000-03-03,-1.087
2000-03-06,-1.978
2000-03-07,-1.1211
2000-03-08,1.1338
2000-03-09,2.6906
2000-03-10,0.4367
2000-03-13,-0.4348
2000-03-14,-2.6201
2000-03-15,-0.4484
2000-03-16,5.8559
2000-03-17,1.4894
2000-03-20,1.0482
2000-03-21,-1.4523
2000-03-22,1.0526
2000-03-23,3.125
2000-03-24,-2.4242
2000-03-27,-2.4845
2000-03-28,0.8493
2000-03-29,-0.8421
2000-03-30,6.7941
2000-03-31,12.5249
2000-04-03,-4.417
2000-04-04,-0.3697
2000-04-05,1.4842
2000-04-06,2.1938
2000-04-07,-1.0733
2000-04-10,0.5425
2000-04-11,-0.5396
2000-04-12,0.0
2000-04-13,4.34
2000-04-14,-5.026
2000-04-17,2.0073
2000-04-18,0.3578
2000-04-19,-1.9607999999999999
2000-04-20,-2.5455
2000-04-24,0.3731
2000-04-25,1.8587
2000-04-26,-1.2774
2000-04-27,0.3697
2000-04-28,1.8416000000000001
2000-05-01,1.2658
2000-05-02,0.0
2000-05-03,-3.75
2000-05-04,4.2672
2000-05-05,1.4235
2000-05-08,-2.2807
2000-05-09,-1.4363000000000001
2000-05-10,-1.275
2000-05-11,1.476
2000-05-12,0.1818
2000-05-15,-1.9964
2000-05-16,1.4815
2000-05-17,-1.6423
2000-05-18,1.4842
2000-05-19,-1.6453
2000-05-22,2.0446
