ticker,BPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.2019
2000-01-04,-0.9732
2000-01-05,0.2457
2000-01-06,2.451
2000-01-07,-0.4785
2000-01-10,0.9615
2000-01-11,-0.4762
2000-01-12,-0.4785
2000-01-13,1.2019
2000-01-14,-3.8005
2000-01-18,3.7037
2000-01-19,-2.3810000000000002
2000-01-20,1.4634
2000-01-21,1.4423
2000-01-24,0.4739
2000-01-25,0.7075
2000-01-26,2.1077
2000-01-27,1.8349
2000-01-28,-0.2252
2000-01-31,0.6772
2000-02-01,-1.3453
2000-02-02,-1.6818
2000-02-03,3.5461
2000-02-04,-1.3699
2000-02-07,-1.3889
2000-02-08,0.4695
2000-02-09,0.9346
2000-02-10,0.6944
2000-02-11,-0.6897
2000-02-14,1.8519
2000-02-15,-2.2727
2000-02-16,-1.6279
2000-02-17,-0.2364
2000-02-18,-1.1848
2000-02-22,-0.2398
2000-02-23,0.4808
2000-02-24,0.0
2000-02-25,-1.6745999999999999
2000-02-28,-0.7299
2000-02-29,4.4118
2000-03-01,0.7042
2000-03-02,0.6993
2000-03-03,1.3889
2000-03-06,-3.1963
2000-03-07,0.4717
2000-03-08,0.4695
2000-03-09,-2.1028000000000002
2000-03-10,-0.2387
2000-03-13,-1.1962
2000-03-14,-0.9685
2000-03-15,2.445
2000-03-16,-1.1933
2000-03-17,0.0
2000-03-20,-0.9662
2000-03-21,0.0
2000-03-22,0.9756
2000-03-23,0.2415
2000-03-24,-1.6867
2000-03-27,0.2451
2000-03-28,-1.2225
2000-03-29,0.495
2000-03-30,0.9852
2000-03-31,1.4634
2000-04-03,-1.9231
2000-04-04,-0.2451
2000-04-05,-0.7371
2000-04-06,2.9703
2000-04-07,0.4808
2000-04-10,0.0
2000-04-11,0.9569
2000-04-12,0.0
2000-04-13,0.4739
2000-04-14,-1.4151
2000-04-17,0.4785
2000-04-18,2.8571
2000-04-19,0.463
2000-04-20,1.3825
2000-04-24,-2.5
2000-04-25,2.5641
2000-04-26,-1.1364
2000-04-27,-0.2299
2000-04-28,-0.2304
2000-05-01,0.0
2000-05-02,0.1386
2000-05-03,-1.8868
2000-05-04,1.6827
2000-05-05,-1.4184
2000-05-08,0.0
2000-05-09,0.2398
2000-05-10,2.1531000000000002
2000-05-11,-0.4684
2000-05-12,0.2353
2000-05-15,0.2347
2000-05-16,0.7026
2000-05-17,-0.2326
2000-05-18,0.2331
2000-05-19,-3.7209
2000-05-22,0.7246
2000-05-23,0.4796
