ticker,AHG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.5748999999999995
2000-01-04,0.0
2000-01-05,3.321
2000-01-06,3.5714
2000-01-07,10.3448
2000-01-10,-2.8125
2000-01-11,2.2508
2000-01-12,2.2013
2000-01-13,1.2308
2000-01-14,1.2158
2000-01-18,-3.9039
2000-01-19,-2.8125
2000-01-20,4.1801
2000-01-21,-2.7778
2000-01-24,0.6349
2000-01-25,-3.4699999999999998
2000-01-26,0.0
2000-01-27,-0.3268
2000-01-28,0.3279
2000-01-31,4.5752
2000-02-01,-0.9375
2000-02-02,-0.9464
2000-02-03,4.1401
2000-02-04,7.6453
2000-02-07,-5.9658999999999995
2000-02-08,-5.4381
2000-02-09,-0.9585
2000-02-10,-2.2580999999999998
2000-02-11,-6.6007
2000-02-14,-9.894
2000-02-15,3.9215999999999998
2000-02-16,-1.1320999999999999
2000-02-17,-4.1985
2000-02-18,-7.5697
2000-02-22,3.0172
2000-02-23,-3.3473
2000-02-24,-6.0606
2000-02-25,-4.6083
2000-02-28,3.3816
2000-02-29,6.5421
2000-03-01,3.9474
2000-03-02,-2.1097
2000-03-03,3.0172
2000-03-06,-4.6025
2000-03-07,-1.3158
2000-03-08,-6.2222
2000-03-09,2.8436
2000-03-10,-3.2258
2000-03-13,1.9048
2000-03-14,1.4019
2000-03-15,4.1475
2000-03-16,7.0796
2000-03-17,0.4132
2000-03-20,2.0576
2000-03-21,-2.4194
2000-03-22,0.4132
2000-03-23,-6.1728
2000-03-24,1.3158
2000-03-27,-3.4632
2000-03-28,-1.7936999999999999
2000-03-29,1.8265
2000-03-30,5.8296
2000-03-31,-2.1186
2000-04-03,0.4329
2000-04-04,-0.431
2000-04-05,3.4632
2000-04-06,0.8368
2000-04-07,0.4149
2000-04-10,-2.0661
2000-04-11,0.8439
2000-04-12,-1.2551999999999999
2000-04-13,1.2711999999999999
2000-04-14,-4.6025
2000-04-17,-0.8772
2000-04-18,-0.885
2000-04-19,1.3393
2000-04-20,-0.4405
2000-04-24,-1.3274
2000-04-25,0.0
2000-04-26,-1.7936999999999999
2000-04-27,3.653
2000-04-28,-1.7621
2000-05-01,3.5874
2000-05-02,-2.1645
2000-05-03,1.3274
2000-05-04,2.6201
2000-05-05,5.1064
2000-05-08,-2.0243
2000-05-09,-4.1322
2000-05-10,-4.3103
2000-05-11,6.3063
2000-05-12,-5.9322
2000-05-15,0.4505
2000-05-16,9.8655
2000-05-17,-2.8571
2000-05-18,0.4202
