ticker,HME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.2278
2000-01-04,-1.5981999999999998
2000-01-05,-0.6961
2000-01-06,0.9346
2000-01-07,3.2407
2000-01-10,0.2242
2000-01-11,0.8949
2000-01-12,-1.3304
2000-01-13,-0.2247
2000-01-14,1.3514
2000-01-18,3.1111
2000-01-19,-0.8621
2000-01-20,0.0
2000-01-21,-0.4348
2000-01-24,-3.0568
2000-01-25,0.4505
2000-01-26,-0.4484
2000-01-27,1.3514
2000-01-28,-1.7778
2000-01-31,-2.0362
2000-02-01,1.6166
2000-02-02,1.3636
2000-02-03,0.0
2000-02-04,-4.0359
2000-02-07,0.0
2000-02-08,-1.1682
2000-02-09,0.0
2000-02-10,1.2955
2000-02-11,-0.2381
2000-02-14,0.9547
2000-02-15,1.182
2000-02-16,-2.3364
2000-02-17,-0.2392
2000-02-18,-1.199
2000-02-22,0.2427
2000-02-23,0.4843
2000-02-24,-0.4819
2000-02-25,0.9685
2000-02-28,0.4796
2000-02-29,2.148
2000-03-01,-0.4673
2000-03-02,0.2347
2000-03-03,0.4684
2000-03-06,0.0
2000-03-07,-3.0303
2000-03-08,-0.2404
2000-03-09,-0.4819
2000-03-10,0.0
2000-03-13,0.4843
2000-03-14,-0.241
2000-03-15,0.7246
2000-03-16,2.6379
2000-03-17,3.271
2000-03-20,0.905
2000-03-21,-0.8969
2000-03-22,0.4525
2000-03-23,-1.3514
2000-03-24,-1.1416
2000-03-27,-0.9238
2000-03-28,-1.3986
2000-03-29,1.182
2000-03-30,-0.4673
2000-03-31,0.4695
2000-04-03,-0.9346
2000-04-04,0.2358
2000-04-05,0.7059
2000-04-06,0.9346
2000-04-07,-0.2315
2000-04-10,0.232
2000-04-11,-0.463
2000-04-12,0.4651
2000-04-13,1.1574
2000-04-14,0.9153
2000-04-17,-0.4535
2000-04-18,-0.4556
2000-04-19,0.6865
2000-04-20,0.9091
2000-04-24,-0.9009
2000-04-25,1.8182
2000-04-26,0.8929
2000-04-27,0.4425
2000-04-28,-1.3216
2000-05-01,0.8929
2000-05-02,0.2212
2000-05-03,-0.2208
2000-05-04,0.2212
2000-05-05,-1.1038000000000001
2000-05-08,-0.4464
2000-05-09,0.2242
2000-05-10,0.2237
2000-05-11,0.8929
2000-05-12,1.4336
2000-05-15,0.4444
2000-05-16,1.3274
2000-05-17,-0.2183
2000-05-18,0.0
2000-05-19,-0.6565
2000-05-22,0.0
2000-05-23,0.8811
2000-05-24,-1.7467000000000001
