ticker,RAY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8519
2000-01-04,1.8868
2000-01-05,3.7037
2000-01-06,3.5714
2000-01-07,3.4483
2000-01-10,0.0
2000-01-11,-3.3333
2000-01-12,0.0
2000-01-13,3.4483
2000-01-14,6.6667
2000-01-18,-1.5625
2000-01-19,-1.5873
2000-01-20,0.0
2000-01-21,-6.4516
2000-01-24,1.7241
2000-01-25,3.3898
2000-01-26,-4.918
2000-01-27,1.7241
2000-02-02,-1.6949
2000-02-03,-1.7241
2000-02-04,0.0
2000-02-08,0.0
2000-02-09,7.0175
2000-02-10,0.0
2000-02-11,-4.918
2000-02-14,0.0
2000-02-15,-1.7241
2000-02-16,7.0175
2000-02-17,0.0
2000-02-18,-4.918
2000-02-22,0.0
2000-02-23,1.7241
2000-02-24,-1.6949
2000-02-25,0.0
2000-02-28,-3.4483
2000-02-29,1.7856999999999998
2000-03-01,5.2632
2000-03-02,-3.3333
2000-03-03,0.0
2000-03-06,-1.7241
2000-03-07,-1.7544
2000-03-08,0.0
2000-03-09,7.1429
2000-03-10,-3.3333
2000-03-13,-1.7241
2000-03-14,1.7544
2000-03-15,0.0
2000-03-16,1.7241
2000-03-17,0.0
2000-03-20,0.0
2000-03-21,1.6949
2000-03-22,0.0
2000-03-23,-1.6667
2000-03-24,-1.6949
2000-03-27,3.4483
2000-03-28,1.6667
2000-03-29,-1.6393
2000-03-30,0.0
2000-03-31,1.6667
2000-04-03,0.0
2000-04-05,3.2787
2000-04-06,-4.7619
2000-04-07,-5.0
2000-04-10,5.2632
2000-04-11,0.0
2000-04-12,-3.3333
2000-04-14,-3.4483
2000-04-17,0.0
2000-04-18,-3.5714
2000-04-20,0.0
2000-04-24,-3.7037
2000-04-25,1.9231
2000-04-26,3.7736
2000-04-27,3.6364
2000-04-28,-5.2632
2000-05-01,7.4074
2000-05-02,-1.7241
2000-05-03,-1.7544
2000-05-08,0.0
2000-05-09,-3.5714
2000-05-10,-1.8519
2000-05-11,1.8868
2000-05-15,-3.7037
2000-05-16,5.7692
2000-05-17,-1.8182
2000-05-18,3.7037
2000-05-19,-5.3571
2000-05-22,-1.8868
2000-05-23,0.0
2000-05-24,-3.8462
2000-05-25,4.0
2000-05-30,0.0
2000-05-31,-5.7692
2000-06-01,2.0408
2000-06-02,0.0
2000-06-05,6.0
2000-06-06,1.8868
2000-06-07,-1.8519
2000-06-08,0.0
2000-06-09,3.7736
2000-06-12,3.6364
2000-06-13,-1.7544
