ticker,RHDCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.6424
2000-01-04,0.3436
2000-01-05,0.0
2000-01-06,-1.3699
2000-01-07,3.125
2000-01-10,-4.3771
2000-01-11,-4.5775
2000-01-12,4.428
2000-01-13,-1.7668
2000-01-14,-3.5971
2000-01-18,-1.4925
2000-01-19,8.7121
2000-01-20,3.1359
2000-01-21,0.3378
2000-01-24,1.0101
2000-01-25,-0.3333
2000-01-26,-1.6722000000000001
2000-01-27,-0.3401
2000-01-28,-2.0478
2000-01-31,-1.3937
2000-02-01,-2.1201
2000-02-02,-2.5271
2000-02-03,-4.4444
2000-02-04,0.0
2000-02-07,3.1008
2000-02-08,-0.7519
2000-02-09,1.1364
2000-02-10,2.6217
2000-02-11,-6.2044
2000-02-14,1.9455
2000-02-15,-0.3817
2000-02-16,0.3831
2000-02-17,1.9083999999999999
2000-02-18,-1.1236
2000-02-22,-0.7576
2000-02-23,-0.7634
2000-02-24,1.1538
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,2.6616
2000-03-01,1.8519
2000-03-02,-0.7273
2000-03-03,-2.1978
2000-03-06,1.4981
2000-03-07,-3.321
2000-03-08,1.145
2000-03-09,2.2641999999999998
2000-03-10,-5.5351
2000-03-13,0.0
2000-03-14,-1.1719
2000-03-15,5.9289
2000-03-16,6.7164
2000-03-17,2.0979
2000-03-20,-4.7945
2000-03-21,-3.5971
2000-03-22,0.7463
2000-03-23,-3.3333
2000-03-24,0.3831
2000-03-27,-1.5267
2000-03-28,-5.0388
2000-03-29,2.8571
2000-03-30,9.127
2000-03-31,-1.0909
2000-04-03,1.4706000000000001
2000-04-04,-0.7246
2000-04-05,-4.3796
2000-04-06,3.8167999999999997
2000-04-07,0.3676
2000-04-10,2.1978
2000-04-11,0.3584
2000-04-12,0.0
2000-04-13,1.0714
2000-04-14,-2.8269
2000-04-17,-6.5455
2000-04-18,-2.3346
2000-04-19,-3.5857
2000-04-20,3.3058
2000-04-24,-3.2
2000-04-25,0.4132
2000-04-26,4.1152
2000-04-27,10.6719
2000-04-28,14.2857
2000-05-01,-1.875
2000-05-02,-3.5032
2000-05-03,4.9505
2000-05-04,0.9434
2000-05-05,-0.3115
2000-05-08,-0.9375
2000-05-09,-1.8927
2000-05-10,-1.6077
2000-05-11,0.0
2000-05-12,0.9804
2000-05-15,1.9417
2000-05-16,-1.5873
2000-05-17,-0.6452
2000-05-18,-0.6494
2000-05-19,-0.9804
2000-05-22,-2.6403
