ticker,MSO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,13.0208
2000-01-04,-4.3779
2000-01-05,8.4337
2000-01-06,-5.5556
2000-01-07,-3.2941
2000-01-10,5.5961
2000-01-11,-4.3779
2000-01-12,-1.4458
2000-01-13,-2.934
2000-01-14,-2.267
2000-01-18,-4.8969000000000005
2000-01-19,0.542
2000-01-20,-5.1213
2000-01-21,-2.8409
2000-01-24,2.924
2000-01-25,5.9658999999999995
2000-01-26,0.5362
2000-01-27,0.5333
2000-01-28,-6.1008
2000-01-31,1.6949
2000-02-01,-3.6111
2000-02-02,4.3228
2000-02-03,14.9171
2000-02-04,-3.8462
2000-02-07,2.5
2000-02-08,3.1707
2000-02-09,4.0189
2000-02-10,-1.5909
2000-02-11,1.8476
2000-02-14,2.9478
2000-02-15,4.8458
2000-02-16,-2.3109
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,-0.2151
2000-02-23,-3.4483
2000-02-24,-5.1339
2000-02-25,-5.6471
2000-02-28,0.4988
2000-02-29,1.9851
2000-03-01,1.7032
2000-03-02,3.3493
2000-03-03,3.0093
2000-03-06,-2.6966
2000-03-07,-2.3095
2000-03-08,1.182
2000-03-09,-3.972
2000-03-10,-1.7032
2000-03-13,3.4653
2000-03-14,-1.9139
2000-03-15,0.0
2000-03-16,-1.9512
2000-03-17,-4.9751
2000-03-20,-2.356
2000-03-21,0.8043
2000-03-22,1.3298
2000-03-23,0.5249
2000-03-24,-3.9164
2000-03-27,-1.6303999999999998
2000-03-28,-0.2762
2000-03-29,0.831
2000-03-30,3.2967
2000-03-31,10.1064
2000-04-03,-10.3865
2000-04-04,-11.5903
2000-04-05,-10.9756
2000-04-06,-10.274000000000001
2000-04-07,5.7252
2000-04-10,-5.7762
2000-04-11,-3.4483
2000-04-12,-5.5556
2000-04-13,-0.8403
2000-04-14,-9.322
2000-04-17,12.1495
2000-04-18,22.5
2000-04-19,-8.8435
2000-04-20,-0.7463
2000-04-24,-7.1429
2000-04-25,3.2389
2000-04-26,-5.8824
2000-04-27,-1.6667
2000-04-28,-3.3898
2000-05-01,9.2105
2000-05-02,2.8112
2000-05-03,37.5
2000-05-04,-8.806799999999999
2000-05-05,-0.9346
2000-05-08,-6.2893
2000-05-09,-2.6846
2000-05-10,-0.6897
2000-05-11,1.3889
2000-05-12,2.7397
2000-05-15,-1.6667
2000-05-16,-0.339
2000-05-17,-0.6803
2000-05-18,-0.6849
2000-05-19,-0.6897
2000-05-22,-1.3889
