ticker,NUI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7915
2000-01-04,-0.9852
2000-01-05,0.7463
2000-01-06,-0.2469
2000-01-07,0.9901
2000-01-10,-0.7353
2000-01-11,0.0
2000-01-12,2.716
2000-01-13,-1.6827
2000-01-14,0.489
2000-01-18,-0.2433
2000-01-19,-0.2439
2000-01-20,2.445
2000-01-21,-0.716
2000-01-24,9.1346
2000-01-25,-0.8811
2000-01-26,0.4444
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,-1.5487
2000-02-01,-0.6742
2000-02-02,0.2262
2000-02-03,0.0
2000-02-04,0.6772
2000-02-07,-3.5874
2000-02-08,-1.3953
2000-02-09,-0.4717
2000-02-10,1.4218
2000-02-11,-1.1682
2000-02-14,-0.2364
2000-02-15,0.0
2000-02-16,-0.9479
2000-02-17,-1.9139
2000-02-18,-1.2195
2000-02-22,-2.2222
2000-02-23,-2.0202
2000-02-24,-3.0928
2000-02-25,0.266
2000-02-28,-0.5517
2000-02-29,2.4259
2000-03-01,-0.5263
2000-03-02,0.0
2000-03-03,3.1746
2000-03-06,-2.3077
2000-03-07,1.0499
2000-03-08,-0.5195
2000-03-09,0.5222
2000-03-10,-2.3377
2000-03-13,0.5319
2000-03-14,0.0
2000-03-15,5.291
2000-03-16,2.7638
2000-03-17,-1.956
2000-03-20,1.4963
2000-03-21,1.4742
2000-03-22,1.2107
2000-03-23,0.0
2000-03-24,-3.5885
2000-03-27,0.4963
2000-03-28,-0.7407
2000-03-29,0.7463
2000-03-30,0.2469
2000-03-31,1.9704000000000002
2000-04-03,-0.9662
2000-04-04,0.2439
2000-04-05,0.0
2000-04-06,-0.2433
2000-04-07,1.9512
2000-04-10,3.3493
2000-04-11,-0.2315
2000-04-12,0.6961
2000-04-13,0.6912
2000-04-14,-1.8307
2000-04-17,0.4662
2000-04-18,1.3921000000000001
2000-04-19,0.0
2000-04-20,1.373
2000-04-24,-1.5800999999999998
2000-04-25,1.1468
2000-04-26,-1.1338
2000-04-27,-0.4587
2000-04-28,-1.3825
2000-05-01,0.0
2000-05-02,-0.4673
2000-05-03,0.0
2000-05-04,0.7042
2000-05-05,0.9324
2000-05-08,-3.0023
2000-05-09,-0.2381
2000-05-10,-0.4773
2000-05-11,3.3573
2000-05-12,0.232
2000-05-15,1.1574
2000-05-16,2.5172
2000-05-17,-2.4554
2000-05-18,2.0595
2000-05-19,0.0
2000-05-22,-2.0179
2000-05-23,2.5172
2000-05-24,-2.4554
