ticker,WMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3454
2000-01-04,-3.7418
2000-01-05,-2.0408
2000-01-06,1.0913
2000-01-07,7.5564
2000-01-10,-1.8248
2000-01-11,-1.487
2000-01-12,-1.7925
2000-01-13,0.0961
2000-01-14,-0.9597
2000-01-18,1.6473
2000-01-19,-2.2879
2000-01-20,-1.0732
2000-01-21,-1.4793
2000-01-24,-4.9049
2000-01-25,2.9474
2000-01-26,1.3292
2000-01-27,-4.5409
2000-01-28,-6.7653
2000-01-31,-0.6803
2000-02-01,7.1918
2000-02-02,-0.5325
2000-02-03,0.0
2000-02-04,-3.5332
2000-02-07,-0.9989
2000-02-08,6.7265
2000-02-09,-2.8361
2000-02-10,-1.4054
2000-02-11,-1.6447
2000-02-14,5.0167
2000-02-15,-1.4862
2000-02-16,-9.0517
2000-02-17,-8.2938
2000-02-18,-1.292
2000-02-22,0.7853
2000-02-23,-2.3377
2000-02-24,1.8617
2000-02-25,-7.0496
2000-02-28,3.7921
2000-02-29,5.548
2000-03-01,0.5128
2000-03-02,3.1888
2000-03-03,4.0791
2000-03-06,-4.038
2000-03-07,-5.8168
2000-03-08,1.5769
2000-03-09,1.2937
2000-03-10,-2.0434
2000-03-13,-0.5215
2000-03-14,0.1311
2000-03-15,7.9791
2000-03-16,6.068
2000-03-17,2.0595
2000-03-20,-1.1211
2000-03-21,2.7211
2000-03-22,-2.2075
2000-03-23,-2.4831
2000-03-24,2.7778
2000-03-27,-0.1126
2000-03-28,-1.6911
2000-03-29,7.7982
2000-03-30,0.4255
2000-03-31,-4.2373
2000-04-03,8.2965
2000-04-04,-1.9407999999999999
2000-04-05,-2.9167
2000-04-06,4.9356
2000-04-07,0.6135
2000-04-10,3.3537
2000-04-11,-0.295
2000-04-12,-1.4793
2000-04-13,-3.8038
2000-04-14,-8.4287
2000-04-17,-1.8182
2000-04-18,-0.2315
2000-04-19,1.9722
2000-04-20,5.0057
2000-04-24,2.0585
2000-04-25,1.38
2000-04-26,-1.5707
2000-04-27,-1.8085
2000-04-28,-4.0087
2000-05-01,4.6274999999999995
2000-05-02,-0.5394
2000-05-03,-7.2668
2000-05-04,-4.5614
2000-05-05,0.6127
2000-05-08,2.0705999999999998
2000-05-09,1.1933
2000-05-10,6.9575
2000-05-11,-1.2128
2000-05-12,1.4509
2000-05-15,0.33
2000-05-16,1.7544
2000-05-17,-2.8017
2000-05-18,2.7716
2000-05-19,-1.5102
2000-05-22,0.5476
