ticker,DLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.4388
2000-01-04,-6.2726
2000-01-05,10.1969
2000-01-06,-0.7067
2000-01-07,2.4911
2000-01-10,0.0
2000-01-11,-0.3472
2000-01-12,-1.0453
2000-01-13,-0.7042
2000-01-14,4.2553
2000-01-18,1.3605
2000-01-19,-2.6846
2000-01-20,-0.6897
2000-01-21,-3.4722
2000-01-24,-3.9568
2000-01-25,0.3745
2000-01-26,0.7463
2000-01-27,-0.7407
2000-01-28,-0.3731
2000-01-31,-1.1236
2000-02-01,0.0
2000-02-02,-0.3788
2000-02-03,1.5209000000000001
2000-02-04,-0.7491
2000-02-07,1.5093999999999999
2000-02-08,0.3717
2000-02-09,-0.7407
2000-02-10,0.3731
2000-02-11,0.7435
2000-02-14,0.0
2000-02-15,0.369
2000-02-16,0.7353
2000-02-17,6.5693
2000-02-18,-3.7671
2000-02-22,4.9822
2000-02-23,2.0339
2000-02-24,-1.9933999999999998
2000-02-25,-2.5492
2000-02-28,0.3484
2000-02-29,-0.3472
2000-03-01,-1.3937
2000-03-02,-1.0601
2000-03-03,1.4285999999999999
2000-03-06,13.0282
2000-03-07,-3.4268
2000-03-08,-0.6452
2000-03-09,3.5714
2000-03-10,-4.0752
2000-03-13,0.6536
2000-03-14,-0.974
2000-03-15,3.6066000000000003
2000-03-16,4.4304
2000-03-17,-1.5152
2000-03-20,-1.2308
2000-03-21,-0.3115
2000-03-22,-1.5625
2000-03-23,-1.9048
2000-03-24,-2.589
2000-03-27,3.6545
2000-03-28,-1.2821
2000-03-29,2.5974
2000-03-30,-1.2658
2000-03-31,1.2821
2000-04-03,-2.2152
2000-04-04,-3.8834999999999997
2000-04-05,2.0202
2000-04-06,0.6601
2000-04-07,1.9672
2000-04-10,2.5723000000000003
2000-04-11,0.0
2000-04-12,1.5674000000000001
2000-04-13,4.0123
2000-04-14,-5.638
2000-04-17,0.3145
2000-04-18,-0.627
2000-04-19,1.2618
2000-04-20,0.0
2000-04-24,2.1807
2000-04-25,2.1341
2000-04-26,1.4925
2000-04-27,1.1764999999999999
2000-04-28,-2.3256
2000-05-01,1.7856999999999998
2000-05-02,-2.0468
2000-05-03,-2.6866
2000-05-04,1.8405
2000-05-05,1.2048
2000-05-08,0.0
2000-05-09,0.8929
2000-05-10,-1.4748999999999999
2000-05-11,3.8922
2000-05-12,1.4409
2000-05-15,2.8409
2000-05-16,3.5911999999999997
2000-05-17,-2.4
2000-05-18,-1.3660999999999999
