ticker,NAV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8617
2000-01-04,-2.0325
2000-01-05,-4.9793
2000-01-06,5.968
2000-01-07,2.4725
2000-01-10,0.2681
2000-01-11,-8.0214
2000-01-12,2.3256
2000-01-13,2.983
2000-01-14,0.4138
2000-01-18,-1.2363
2000-01-19,-2.3644
2000-01-20,0.8547
2000-01-21,-1.1299
2000-01-24,0.2857
2000-01-25,-5.4131
2000-01-26,-0.753
2000-01-27,-2.8832
2000-01-28,-3.9063
2000-01-31,2.2763999999999998
2000-02-01,0.9539
2000-02-02,-1.8898000000000001
2000-02-03,-0.6421
2000-02-04,-0.4847
2000-02-07,-3.8961
2000-02-08,-0.1689
2000-02-09,-1.1844000000000001
2000-02-10,-4.9658
2000-02-11,-0.9009
2000-02-14,3.2727
2000-02-15,1.4085
2000-02-16,-1.7361
2000-02-17,-0.7067
2000-02-18,-4.4484
2000-02-22,-0.3724
2000-02-23,-1.8692
2000-02-24,0.1905
2000-02-25,0.7605
2000-02-28,-0.3774
2000-02-29,-0.7576
2000-03-01,4.3893
2000-03-02,0.5484
2000-03-03,4.3636
2000-03-06,-5.9233
2000-03-07,-4.2593
2000-03-08,5.9961
2000-03-09,-1.0949
2000-03-10,-1.107
2000-03-13,3.5448
2000-03-14,4.5045
2000-03-15,1.8965999999999998
2000-03-16,7.2758
2000-03-17,-0.6309
2000-03-20,-3.6508000000000003
2000-03-21,3.6244
2000-03-22,-0.9539
2000-03-23,-0.1605
2000-03-24,2.2508
2000-03-27,-0.6289
2000-03-28,-0.3165
2000-03-29,0.4762
2000-03-30,0.9479
2000-03-31,0.4695
2000-04-03,0.7788
2000-04-04,-4.7913
2000-04-05,1.2987
2000-04-06,-1.9231
2000-04-07,-0.817
2000-04-10,1.8122
2000-04-11,0.3236
2000-04-12,-1.4516
2000-04-13,-0.982
2000-04-14,-6.281
2000-04-17,-0.7055
2000-04-18,-0.5329
2000-04-19,-1.9643000000000002
2000-04-20,0.0
2000-04-24,-2.3679
2000-04-25,4.8507
2000-04-26,1.4235
2000-04-27,-1.7544
2000-04-28,0.0
2000-05-01,1.0714
2000-05-02,-4.417
2000-05-03,-5.915
2000-05-04,0.3929
2000-05-05,5.2838
2000-05-08,2.974
2000-05-09,-0.5415
2000-05-10,-1.0889
2000-05-11,1.2844
2000-05-12,1.9928
2000-05-15,0.5329
2000-05-16,1.9435
2000-05-17,-2.4263
2000-05-18,-1.421
2000-05-19,-2.3423
