ticker,SCS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.0833
2000-01-04,-1.5957
2000-01-05,1.6216
2000-01-06,-0.5319
2000-01-07,1.6042999999999998
2000-01-10,-3.1579
2000-01-11,-4.3478
2000-01-12,2.2727
2000-01-13,6.1111
2000-01-14,-5.7592
2000-01-18,0.5556
2000-01-19,-3.3149
2000-01-20,-0.5714
2000-01-21,0.0
2000-01-24,-2.2989
2000-01-25,0.0
2000-01-26,2.3529
2000-01-27,-1.1494
2000-01-28,1.1628
2000-01-31,4.5977
2000-02-01,16.4835
2000-02-02,-13.6792
2000-02-03,-0.5464
2000-02-04,3.8462
2000-02-07,-2.1164
2000-02-08,-5.9459
2000-02-09,1.1494
2000-02-10,1.1364
2000-02-11,-3.3708
2000-02-14,0.5814
2000-02-15,-0.578
2000-02-16,-1.1628
2000-02-17,1.1764999999999999
2000-02-18,0.0
2000-02-22,0.5814
2000-02-23,-2.3121
2000-02-24,-1.7751000000000001
2000-02-25,0.0
2000-02-28,2.4096
2000-02-29,15.2941
2000-03-01,-2.0408
2000-03-02,0.0
2000-03-03,4.1667
2000-03-06,-1.0
2000-03-07,-7.0707
2000-03-08,3.8043
2000-03-09,-2.0942
2000-03-10,2.1390000000000002
2000-03-13,-1.0471
2000-03-14,-1.5873
2000-03-15,-3.7634
2000-03-16,-1.6760000000000002
2000-03-17,2.2727
2000-03-20,-6.6667
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,1.1905000000000001
2000-03-24,1.1764999999999999
2000-03-27,-1.7442
2000-03-28,4.142
2000-03-29,6.6818
2000-03-30,2.1505
2000-03-31,1.0526
2000-04-03,0.5208
2000-04-04,-0.5181
2000-04-05,2.0833
2000-04-06,3.0612
2000-04-07,-2.4752
2000-04-10,1.5228000000000002
2000-04-11,-1.0
2000-04-12,-1.0101
2000-04-13,0.0
2000-04-14,-4.0816
2000-04-17,-1.0638
2000-04-18,-0.5376
2000-04-19,0.5405
2000-04-20,2.1505
2000-04-24,-4.2105
2000-04-25,1.6484
2000-04-26,1.6216
2000-04-27,-1.0638
2000-04-28,1.0753
2000-05-01,-1.5957
2000-05-02,0.5405
2000-05-03,-2.1505
2000-05-04,-1.0989
2000-05-05,5.0
2000-05-08,1.0582
2000-05-09,0.0
2000-05-10,-3.6649000000000003
2000-05-11,1.087
2000-05-12,1.6129
2000-05-15,-0.5291
2000-05-16,-1.0638
2000-05-17,-1.0753
2000-05-18,1.087
2000-05-19,-2.1505
