ticker,RZT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.5152
2000-01-04,0.0
2000-01-05,16.4179
2000-01-06,0.0
2000-01-07,-6.4103
2000-01-10,5.4795
2000-01-11,-1.2987
2000-01-12,1.3158
2000-01-13,1.2987
2000-01-14,-2.5641
2000-01-18,2.6316
2000-01-19,0.0
2000-01-20,-2.5641
2000-01-21,2.6316
2000-01-24,-5.1282
2000-01-25,1.3514
2000-01-26,1.3333
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,2.6316
2000-02-01,-3.8462
2000-02-02,0.0
2000-02-03,-1.3333
2000-02-04,1.3514
2000-02-07,-1.3333
2000-02-08,-2.7027
2000-02-09,-5.5556
2000-02-10,-2.9412000000000003
2000-02-11,3.0303
2000-02-14,-1.4706000000000001
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,1.4925
2000-02-18,4.4118
2000-02-22,-2.8169
2000-02-23,0.0
2000-02-24,4.3478
2000-02-25,18.0556
2000-02-28,-7.0588
2000-02-29,1.2658
2000-03-01,-2.5
2000-03-02,1.2821
2000-03-03,0.0
2000-03-06,1.2658
2000-03-07,-2.5
2000-03-08,0.0
2000-03-09,1.2821
2000-03-10,0.0
2000-03-13,-7.5949
2000-03-14,2.7397
2000-03-15,1.3333
2000-03-16,1.3158
2000-03-17,2.5974
2000-03-20,3.7975
2000-03-21,15.8537
2000-03-22,12.6316
2000-03-23,10.2804
2000-03-24,-4.2373
2000-03-27,-2.6549
2000-03-28,-10.9091
2000-03-29,2.0408
2000-03-30,-2.0
2000-03-31,-4.0816
2000-04-03,7.4468
2000-04-04,-0.9901
2000-04-05,-7.0
2000-04-06,6.4516
2000-04-07,7.0707
2000-04-10,7.5472
2000-04-11,-12.2807
2000-04-12,6.0
2000-04-13,-7.5472
2000-04-14,-3.0612
2000-04-17,-5.2632
2000-04-18,6.6667
2000-04-19,-2.0833
2000-04-20,0.0
2000-04-24,0.0
2000-04-25,-1.0638
2000-04-26,0.0
2000-04-27,-1.0753
2000-04-28,1.087
2000-05-01,-1.0753
2000-05-02,-2.1739
2000-05-03,-1.1111
2000-05-04,1.1236
2000-05-05,0.0
2000-05-08,4.4444
2000-05-09,-3.1915
2000-05-10,-2.1978
2000-05-11,-2.2472
2000-05-12,5.7471
2000-05-15,0.0
2000-05-16,8.6957
2000-05-17,-5.0
2000-05-18,-4.2105
2000-05-19,2.1978
2000-05-22,-4.3011
2000-05-23,4.4944
2000-05-24,-5.3763
2000-05-25,-2.2727
