ticker,TFCFA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.1869
2000-01-04,-3.3708
2000-01-05,1.5504
2000-01-06,0.9542
2000-01-07,-0.5671
2000-01-10,18.251
2000-01-11,-1.9293
2000-01-12,-2.459
2000-01-13,5.8824
2000-01-14,-1.5873
2000-01-18,-1.6129
2000-01-19,-1.8033000000000001
2000-01-20,2.0033
2000-01-21,-1.964
2000-01-24,-4.6745
2000-01-25,1.2259
2000-01-26,0.692
2000-01-27,3.7801
2000-01-28,3.4768
2000-01-31,4.96
2000-02-01,1.0671
2000-02-02,8.2956
2000-02-03,5.7103
2000-02-04,-4.6113
2000-02-07,2.4862
2000-02-08,2.2911
2000-02-09,4.4796
2000-02-10,1.1349
2000-02-11,-2.1197
2000-02-14,-0.6369
2000-02-15,4.2308
2000-02-16,0.492
2000-02-17,-0.612
2000-02-18,-2.9557
2000-02-22,0.1269
2000-02-23,0.8872
2000-02-24,-3.5176
2000-02-25,0.5208
2000-02-28,6.0881
2000-02-29,-1.7094
2000-03-01,4.0994
2000-03-02,2.6253
2000-03-03,4.8837
2000-03-06,-2.7716
2000-03-07,-3.0787
2000-03-08,2.1176
2000-03-09,-2.3041
2000-03-10,-3.184
2000-03-13,-1.9487999999999999
2000-03-14,-1.7391
2000-03-15,-3.5398
2000-03-16,5.5046
2000-03-17,1.6149
2000-03-20,2.5672
2000-03-21,2.0262000000000002
2000-03-22,-0.4673
2000-03-23,-1.8779
2000-03-24,-0.1196
2000-03-27,-2.7545
2000-03-28,0.1732
2000-03-29,-0.3695
2000-03-30,-3.8319
2000-03-31,-1.7995
2000-04-03,-2.6178
2000-04-04,-1.7473
2000-04-05,-1.2312
2000-04-06,3.6010999999999997
2000-04-07,0.5348
2000-04-10,-0.266
2000-04-11,-5.0667
2000-04-12,-3.9326
2000-04-13,-4.6784
2000-04-14,-7.5153
2000-04-17,1.8242
2000-04-18,5.2117
2000-04-19,1.8576000000000001
2000-04-20,-2.8875
2000-04-24,-0.4695
2000-04-25,5.8176
2000-04-26,1.3373
2000-04-27,2.346
2000-04-28,0.8596
2000-05-01,1.1364
2000-05-02,-2.2472
2000-05-03,-1.8678
2000-05-04,-1.9034
2000-05-05,1.194
2000-05-08,-1.1799
2000-05-09,0.7463
2000-05-10,-3.5556
2000-05-11,-1.0753
2000-05-12,0.7764
2000-05-15,0.3082
2000-05-16,2.4577999999999998
2000-05-17,-2.099
2000-05-18,-2.7565
2000-05-19,-4.0945
