ticker,DNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.1152
2000-01-04,-7.6746
2000-01-05,-2.439
2000-01-06,4.4898
2000-01-07,6.9336
2000-01-10,6.3014
2000-01-11,-5.8419
2000-01-12,-10.4015
2000-01-13,9.1141
2000-01-14,3.7797
2000-01-18,4.3615
2000-01-19,8.4446
2000-01-20,0.437
2000-01-21,5.8544
2000-01-24,-3.2511
2000-01-25,-2.3561
2000-01-26,-1.1076
2000-01-27,-0.8
2000-01-28,-4.1935
2000-01-31,-6.1448
2000-02-01,2.9596
2000-02-02,0.2178
2000-02-03,0.1304
2000-02-04,0.0
2000-02-07,4.5139
2000-02-08,5.0664
2000-02-09,3.7154
2000-02-10,-2.782
2000-02-11,0.196
2000-02-14,2.6604
2000-02-15,1.6768
2000-02-16,-0.075
2000-02-17,-3.3758
2000-02-18,-1.4752
2000-02-22,-1.6548
2000-02-23,9.0545
2000-02-24,0.4776
2000-02-25,2.3766
2000-02-28,3.7143
2000-02-29,6.2672
2000-03-01,10.3694
2000-03-02,0.7634
2000-03-03,9.324
2000-03-06,-8.1023
2000-03-07,-1.8561
2000-03-08,-0.8274
2000-03-09,-10.6079
2000-03-10,-1.0667
2000-03-13,-2.965
2000-03-14,0.625
2000-03-15,-5.5901
2000-03-16,5.2632
2000-03-17,6.9444
2000-03-20,-8.506499999999999
2000-03-21,-1.9163000000000001
2000-03-22,0.7236
2000-03-23,-3.8434
2000-03-24,-3.1752
2000-03-27,-4.5525
2000-03-28,2.5061
2000-03-29,-7.1767
2000-03-30,1.6143
2000-03-31,1.6722000000000001
2000-04-03,-5.1809
2000-04-04,-3.7294
2000-04-05,7.3874
2000-04-06,4.698
2000-04-07,-1.2821
2000-04-10,1.6234
2000-04-11,-12.7796
2000-04-12,-6.2271
2000-04-13,6.25
2000-04-14,-5.8824
2000-04-17,-0.1953
2000-04-18,6.0665
2000-04-19,-6.9188
2000-04-20,-5.4509
2000-04-24,-14.9895
2000-04-25,1.7263
2000-04-26,6.6667
2000-04-27,-0.1136
2000-04-28,9.215
2000-05-01,7.5
2000-05-02,-2.7132
2000-05-03,-1.5936
2000-05-04,-3.6437
2000-05-05,4.1492
2000-05-08,6.1019
2000-05-09,-3.9924
2000-05-10,-2.7723
2000-05-11,2.6477
2000-05-12,2.3810000000000002
2000-05-15,1.8411
2000-05-16,2.7593
2000-05-17,-4.0741
2000-05-18,-2.4131
2000-05-19,-0.2967
2000-05-22,-13.8889
2000-05-23,-11.5207
