ticker,HE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.8139
2000-01-04,-0.4454
2000-01-05,5.8166
2000-01-06,0.6342
2000-01-07,1.2605
2000-01-10,-0.8299
2000-01-11,-1.046
2000-01-12,0.4228
2000-01-13,0.0
2000-01-14,-0.2105
2000-01-18,-1.0549
2000-01-19,0.2132
2000-01-20,0.8511
2000-01-21,0.0
2000-01-24,-0.211
2000-01-25,0.4228
2000-01-26,1.0526
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,0.4167
2000-02-01,0.2075
2000-02-02,0.207
2000-02-03,2.2727
2000-02-04,-1.6162
2000-02-07,-0.616
2000-02-08,0.6198
2000-02-09,-1.232
2000-02-10,-1.2474
2000-02-11,0.6316
2000-02-14,0.4017
2000-02-15,-0.8511
2000-02-16,0.0
2000-02-17,1.073
2000-02-18,-2.7601
2000-02-22,1.5284
2000-02-23,-1.7204000000000002
2000-02-24,-2.1882
2000-02-25,-0.2237
2000-02-28,2.4664
2000-02-29,0.8753
2000-03-01,-1.5184
2000-03-02,0.4405
2000-03-03,0.8772
2000-03-06,-3.2609
2000-03-07,2.0225
2000-03-08,0.8811
2000-03-09,0.4367
2000-03-10,-1.087
2000-03-13,-1.3187
2000-03-14,2.2272
2000-03-15,3.268
2000-03-16,3.7975
2000-03-17,-3.252
2000-03-20,-1.0504
2000-03-21,1.4862
2000-03-22,-1.046
2000-03-23,2.7484
2000-03-24,-0.4115
2000-03-27,0.6198
2000-03-28,0.0
2000-03-29,0.8214
2000-03-30,1.222
2000-03-31,2.4145
2000-04-03,-1.7682
2000-04-04,1.2
2000-04-05,2.1739
2000-04-06,-0.9671
2000-04-07,0.0
2000-04-10,0.0
2000-04-11,0.9766
2000-04-12,0.0
2000-04-13,3.0948
2000-04-14,-2.6266
2000-04-17,2.1195
2000-04-18,0.3774
2000-04-19,0.9398
2000-04-20,0.1862
2000-04-24,-0.1859
2000-04-25,7.2626
2000-04-26,2.9514
2000-04-27,-0.1686
2000-04-28,0.0
2000-05-01,1.1824
2000-05-02,-2.1703
2000-05-03,-1.0239
2000-05-04,2.069
2000-05-05,0.0
2000-05-08,2.5202999999999998
2000-05-09,-0.8375
2000-05-10,-1.0135
2000-05-11,2.2184
2000-05-12,-0.8347
2000-05-15,0.6734
2000-05-16,-3.6789
2000-05-17,-3.2986
2000-05-18,1.0772
2000-05-19,0.7105
2000-05-22,0.8818
2000-05-23,-0.5245
2000-05-24,0.1757
2000-05-25,-1.4035
