ticker,ANN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.2595
2000-01-04,-4.6967
2000-01-05,-1.4374
2000-01-06,-20.0
2000-01-07,-0.7812
2000-01-10,4.9869
2000-01-11,1.75
2000-01-12,-4.4226
2000-01-13,5.9126
2000-01-14,-3.3981
2000-01-18,-0.5025
2000-01-19,4.0404
2000-01-20,-3.3981
2000-01-21,-4.2714
2000-01-24,-3.9370000000000003
2000-01-25,-0.2732
2000-01-26,3.8356
2000-01-27,-0.5277
2000-01-28,-5.5703
2000-01-31,-1.1236
2000-02-01,-0.2841
2000-02-02,-1.4245
2000-02-03,-21.0983
2000-02-04,-3.2967
2000-02-07,1.5152
2000-02-08,-5.5969999999999995
2000-02-09,1.1858
2000-02-10,-0.7812
2000-02-11,15.3543
2000-02-14,-7.8498
2000-02-15,0.7407
2000-02-16,-6.25
2000-02-17,-1.1764999999999999
2000-02-18,-3.1746
2000-02-22,13.9344
2000-02-23,-0.7194
2000-02-24,2.8986
2000-02-25,-3.5211
2000-02-28,5.4745
2000-02-29,5.5363
2000-03-01,-0.3279
2000-03-02,2.6316
2000-03-03,6.4103
2000-03-06,4.2169
2000-03-07,-7.5145
2000-03-08,20.0
2000-03-09,-0.2604
2000-03-10,0.2611
2000-03-13,-1.8229
2000-03-14,14.5889
2000-03-15,-3.9352
2000-03-16,5.7831
2000-03-17,-1.5945
2000-03-20,-6.713
2000-03-21,-2.9777
2000-03-22,0.2558
2000-03-23,-2.0408
2000-03-24,-2.8646000000000003
2000-03-27,2.4129
2000-03-28,-2.6178
2000-03-29,5.1075
2000-03-30,-2.5575
2000-03-31,-3.4121
2000-04-03,2.7174
2000-04-04,-3.1746
2000-04-05,-0.5464
2000-04-06,11.2637
2000-04-07,4.6914
2000-04-10,-3.7736
2000-04-11,3.6765
2000-04-12,-0.9456
2000-04-13,-1.9093
2000-04-14,-14.5985
2000-04-17,8.547
2000-04-18,1.0499
2000-04-19,-0.7792
2000-04-20,1.8325
2000-04-24,-10.0257
2000-04-25,3.4286
2000-04-26,-0.8287
2000-04-27,-3.6212
2000-04-28,-2.8902
2000-05-01,3.8689999999999998
2000-05-02,-6.8768
2000-05-03,-4.0
2000-05-04,17.3077
2000-05-05,5.4645
2000-05-08,-2.0725
2000-05-09,0.7937
2000-05-10,-1.5748
2000-05-11,1.3333
2000-05-12,6.3158
2000-05-15,0.2475
2000-05-16,-1.4815
2000-05-17,-0.2506
2000-05-18,1.5074999999999998
2000-05-19,5.6931
