ticker,PKE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5882
2000-01-04,-3.1401
2000-01-05,-0.9975
2000-01-06,-1.0076
2000-01-07,0.5089
2000-01-10,-1.0127
2000-01-11,-3.5806
2000-01-12,-2.6525
2000-01-13,-2.7248
2000-01-14,4.7619
2000-01-18,-0.8021
2000-01-19,-5.1213
2000-01-20,-1.4205
2000-01-21,1.1527
2000-01-24,0.5698
2000-01-25,-3.1161
2000-01-26,-5.2632
2000-01-27,0.3086
2000-01-28,-4.3077
2000-01-31,-2.5723000000000003
2000-02-01,-2.3102
2000-02-02,11.4865
2000-02-03,2.4242
2000-02-04,-0.8876
2000-02-07,0.8955
2000-02-08,0.8876
2000-02-09,4.3988
2000-02-10,2.809
2000-02-11,-3.0055
2000-02-14,-1.1268
2000-02-15,-1.9943
2000-02-16,-0.5814
2000-02-17,-0.2924
2000-02-18,-3.2258
2000-02-22,0.9091
2000-02-23,1.2012
2000-02-24,5.0445
2000-02-25,2.8249
2000-02-28,-0.5495
2000-02-29,0.5525
2000-03-01,1.0989
2000-03-02,0.5435
2000-03-03,6.2162
2000-03-06,5.3435
2000-03-07,-3.1401
2000-03-08,-1.2469000000000001
2000-03-09,-1.0101
2000-03-10,1.7856999999999998
2000-03-13,-0.7519
2000-03-14,-2.5253
2000-03-15,-1.8135
2000-03-16,0.5277
2000-03-17,-0.2625
2000-03-20,-0.2632
2000-03-21,-2.1108
2000-03-22,-1.8868
2000-03-23,0.5495
2000-03-24,-0.2732
2000-03-27,0.0
2000-03-28,-0.5479
2000-03-29,1.9284
2000-03-30,4.3243
2000-03-31,1.5544
2000-04-03,-0.5102
2000-04-04,-2.3077
2000-04-05,-0.2625
2000-04-06,1.5789
2000-04-07,0.0725
2000-04-10,1.2987
2000-04-11,0.2564
2000-04-12,3.0691
2000-04-13,0.2481
2000-04-14,-2.4752
2000-04-17,-1.7766
2000-04-18,-0.2584
2000-04-19,2.0725
2000-04-20,2.2843
2000-04-24,-0.7444
2000-04-25,-1.5
2000-04-26,6.3452
2000-04-27,0.9547
2000-04-28,-3.0733
2000-05-01,0.9756
2000-05-02,-2.8986
2000-05-03,-4.2289
2000-05-04,0.0
2000-05-05,7.013
2000-05-08,1.2136
2000-05-09,-2.8777
2000-05-10,-4.4444
2000-05-11,2.0672
2000-05-12,1.7722
2000-05-15,0.4975
2000-05-16,1.7327
2000-05-17,-0.2433
2000-05-18,-2.9268
2000-05-19,-1.2563
2000-05-22,-2.799
