ticker,NWK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.1164
2000-01-04,-5.6995000000000005
2000-01-05,1.0989
2000-01-06,-0.5435
2000-01-07,1.0929
2000-01-10,5.4054
2000-01-11,-2.5641
2000-01-12,-3.1579
2000-01-13,-13.0435
2000-01-14,-0.625
2000-01-18,-1.8868
2000-01-19,-4.4872
2000-01-20,2.0134
2000-01-21,0.0
2000-01-24,-2.6316
2000-01-25,12.8378
2000-01-26,-3.5928
2000-01-27,-3.7267
2000-01-28,-2.5806
2000-01-31,-1.3245
2000-02-01,5.3690999999999995
2000-02-02,4.4586
2000-02-03,3.0488
2000-02-04,-1.7751000000000001
2000-02-07,1.2048
2000-02-08,-1.1905000000000001
2000-02-09,4.2169
2000-02-10,1.7341
2000-02-11,1.1364
2000-02-14,-0.5618
2000-02-15,-2.8249
2000-02-16,1.1628
2000-02-17,-1.1494
2000-02-18,-1.1628
2000-02-22,1.7647
2000-02-23,1.1561
2000-02-24,-0.5714
2000-02-25,-2.8736
2000-02-28,2.3669000000000002
2000-02-29,-2.8902
2000-03-01,-2.3810000000000002
2000-03-02,3.6585
2000-03-03,0.0
2000-03-06,-3.5294
2000-03-07,3.0488
2000-03-08,0.0
2000-03-09,2.9586
2000-03-10,-1.1494
2000-03-13,6.9767
2000-03-14,-2.7174
2000-03-15,0.5587
2000-03-16,-2.7778
2000-03-17,2.8571
2000-03-20,-3.3333
2000-03-21,-1.7241
2000-03-22,-1.7544
2000-03-23,-1.1905000000000001
2000-03-24,0.0
2000-03-27,-1.8072
2000-03-28,3.681
2000-03-29,0.5917
2000-03-30,-4.1176
2000-03-31,-1.8405
2000-04-03,-2.5
2000-04-04,0.641
2000-04-05,1.2739
2000-04-06,3.1447
2000-04-07,3.0488
2000-04-10,-1.1834
2000-04-11,-5.9879999999999995
2000-04-12,-0.6369
2000-04-13,0.0
2000-04-14,-5.7692
2000-04-17,-2.7211
2000-04-18,1.3986
2000-04-19,-0.6897
2000-04-20,-3.4722
2000-04-24,-5.036
2000-04-25,3.7879
2000-04-26,-1.4599
2000-04-27,-2.2222
2000-04-28,0.0
2000-05-01,3.0303
2000-05-02,1.4706000000000001
2000-05-03,-5.0725
2000-05-04,-1.5267
2000-05-05,3.1008
2000-05-08,-3.7594
2000-05-09,-2.3438
2000-05-10,-4.0
2000-05-11,4.1667
2000-05-12,5.6
2000-05-15,2.2727
2000-05-16,-0.7407
2000-05-17,2.9851
2000-05-18,-1.4493
