ticker,ZLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.8424
2000-01-04,-4.2553
2000-01-05,2.2222
2000-01-06,-4.3478
2000-01-07,-2.2727
2000-01-10,3.6337
2000-01-11,1.4025
2000-01-12,-1.9364
2000-01-13,2.6798
2000-01-14,-0.5495
2000-01-18,-0.5525
2000-01-19,-0.4167
2000-01-20,-4.463
2000-01-21,-3.7956
2000-01-24,-6.9803
2000-01-25,-2.2838
2000-01-26,2.3372
2000-01-27,1.1419
2000-01-28,-2.0968
2000-01-31,-5.7661
2000-02-01,3.1469
2000-02-02,3.5593
2000-02-03,0.491
2000-02-04,-2.2801
2000-02-07,-1.8333
2000-02-08,-1.6978
2000-02-09,-2.5907
2000-02-10,-1.7730000000000001
2000-02-11,-1.8051
2000-02-14,0.0
2000-02-15,-0.9191
2000-02-16,1.4842
2000-02-17,-1.2797
2000-02-18,-0.9259
2000-02-22,4.6729
2000-02-23,0.5357
2000-02-24,-1.2433
2000-02-25,1.9784000000000002
2000-02-28,2.1164
2000-02-29,3.9724
2000-03-01,-1.3289
2000-03-02,5.5556
2000-03-03,3.0303
2000-03-06,-5.1084
2000-03-07,-1.3051
2000-03-08,-2.4793
2000-03-09,7.1186
2000-03-10,-2.057
2000-03-13,-2.9079
2000-03-14,0.3328
2000-03-15,8.6235
2000-03-16,9.1603
2000-03-17,1.5385
2000-03-20,8.1267
2000-03-21,1.7833999999999999
2000-03-22,-7.5094
2000-03-23,-1.2179
2000-03-24,0.5479
2000-03-27,-3.5422000000000002
2000-03-28,-1.8362
2000-03-29,3.1655
2000-03-30,1.5342
2000-03-31,3.7088
2000-04-03,3.4436999999999998
2000-04-04,-4.3534
2000-04-05,-1.4726
2000-04-06,0.8152
2000-04-07,-0.5391
2000-04-10,1.626
2000-04-11,-2.9333
2000-04-12,5.4945
2000-04-13,-6.901
2000-04-14,-8.2517
2000-04-17,1.2195
2000-04-18,3.012
2000-04-19,-1.3158
2000-04-20,-2.8148
2000-04-24,1.5244
2000-04-25,1.6517
2000-04-26,-0.1477
2000-04-27,-1.9231
2000-04-28,-0.4525
2000-05-01,3.0303
2000-05-02,-1.6176
2000-05-03,-6.8759
2000-05-04,1.7657
2000-05-05,4.5741
2000-05-08,1.3575
2000-05-09,-1.1905000000000001
2000-05-10,-0.4518
2000-05-11,9.2284
2000-05-12,4.4321
2000-05-15,1.7241
2000-05-16,-5.2151
2000-05-17,-1.9257
2000-05-18,1.9635
2000-05-19,-2.3384
