ticker,HMN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.9108
2000-01-04,-4.375
2000-01-05,-0.3268
2000-01-06,4.2623
2000-01-07,3.1447
2000-01-10,1.8293
2000-01-11,-3.5928
2000-01-12,-0.3106
2000-01-13,1.8692
2000-01-14,-0.3058
2000-01-18,-0.3067
2000-01-19,-0.9231
2000-01-20,0.9317
2000-01-21,-1.5385
2000-01-24,-1.875
2000-01-25,-4.1401
2000-01-26,0.9967
2000-01-27,-1.6447
2000-01-28,-2.6756
2000-01-31,2.7491
2000-02-01,-1.3378
2000-02-02,-0.339
2000-02-03,0.3401
2000-02-04,-2.3729
2000-02-07,-1.7361
2000-02-08,0.3534
2000-02-09,-7.7465
2000-02-10,1.9083999999999999
2000-02-11,-4.4944
2000-02-14,-1.1764999999999999
2000-02-15,1.5873
2000-02-16,-1.5625
2000-02-17,1.1905000000000001
2000-02-18,-5.8824
2000-02-22,1.6667
2000-02-23,1.2295
2000-02-24,-2.0243
2000-02-25,-0.4132
2000-02-28,-4.5643
2000-02-29,7.8261
2000-03-01,-4.0323
2000-03-02,-0.1345
2000-03-03,-2.1186
2000-03-06,-3.8961
2000-03-07,-0.4505
2000-03-08,1.3575
2000-03-09,-1.7856999999999998
2000-03-10,-3.6364
2000-03-13,-0.4717
2000-03-14,-3.3175
2000-03-15,8.8235
2000-03-16,13.5135
2000-03-17,-1.5873
2000-03-20,0.4032
2000-03-21,5.6225000000000005
2000-03-22,-0.3802
2000-03-23,0.7634
2000-03-24,0.7576
2000-03-27,-3.3835
2000-03-28,5.4475
2000-03-29,1.107
2000-03-30,0.0
2000-03-31,7.6642
2000-04-03,-2.3729
2000-04-04,-1.3889
2000-04-05,-1.0563
2000-04-06,-1.0676
2000-04-07,-1.7986
2000-04-10,-0.7326
2000-04-11,0.0
2000-04-12,-0.369
2000-04-13,0.3704
2000-04-14,-7.3801
2000-04-17,0.7968
2000-04-18,-5.1383
2000-04-19,-9.5833
2000-04-20,1.8433000000000002
2000-04-24,0.905
2000-04-25,4.4843
2000-04-26,0.0
2000-04-27,-0.4292
2000-04-28,0.431
2000-05-01,3.0043
2000-05-02,-0.4167
2000-05-03,-2.9289
2000-05-04,1.7241
2000-05-05,0.0
2000-05-08,-0.4237
2000-05-09,0.8511
2000-05-10,-2.9536
2000-05-11,1.7391
2000-05-12,-1.2821
2000-05-15,8.2251
2000-05-16,0.4
2000-05-17,-2.7888
2000-05-18,3.6885
2000-05-19,-1.1858
