ticker,PGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.1045
2000-01-04,0.5837
2000-01-05,1.7408000000000001
2000-01-06,-0.5703
2000-01-07,1.1472
2000-01-10,-1.7013
2000-01-11,-0.9615
2000-01-12,0.5825
2000-01-13,-0.3861
2000-01-14,1.7442
2000-01-18,-1.9048
2000-01-19,0.7767
2000-01-20,-1.1561
2000-01-21,2.924
2000-01-24,-2.8409
2000-01-25,-1.1696
2000-01-26,0.0
2000-01-27,0.0
2000-01-28,-4.142
2000-01-31,2.8807
2000-02-01,1.0
2000-02-02,0.0
2000-02-03,2.1782
2000-02-04,-2.7132
2000-02-07,-0.5976
2000-02-08,-0.8016
2000-02-09,-0.404
2000-02-10,-1.217
2000-02-11,-0.2053
2000-02-14,0.0
2000-02-15,-0.2058
2000-02-16,-0.8247
2000-02-17,-0.6237
2000-02-18,-2.7197
2000-02-22,1.2903
2000-02-23,-1.4862
2000-02-24,-2.1552
2000-02-25,-3.0837
2000-02-28,3.8636
2000-02-29,1.3129
2000-03-01,-0.432
2000-03-02,-0.6508
2000-03-03,1.5284
2000-03-06,-4.5161
2000-03-07,0.2252
2000-03-08,4.4944
2000-03-09,-2.3656
2000-03-10,-3.0837
2000-03-13,0.9091
2000-03-14,-0.6757
2000-03-15,0.2268
2000-03-16,2.2624
2000-03-17,-1.7699
2000-03-20,2.027
2000-03-21,-1.7978
2000-03-22,-0.2288
2000-03-23,1.3761
2000-03-24,-1.1312
2000-03-27,0.4577
2000-03-28,-0.9112
2000-03-29,0.0
2000-03-30,0.2299
2000-03-31,0.6881
2000-04-03,-2.2779
2000-04-04,1.3986
2000-04-05,0.9195
2000-04-06,0.6834
2000-04-07,2.2624
2000-04-10,0.885
2000-04-11,1.0965
2000-04-12,0.4338
2000-04-13,3.8877
2000-04-14,0.8316
2000-04-17,3.9175
2000-04-18,-1.7856999999999998
2000-04-19,0.6061
2000-04-20,0.8032
2000-04-24,0.996
2000-04-25,0.5917
2000-04-26,0.0
2000-04-27,-1.5686
2000-04-28,-0.996
2000-05-01,0.4024
2000-05-02,-0.8016
2000-05-03,-1.4141
2000-05-04,1.6393
2000-05-05,-0.4032
2000-05-08,2.834
2000-05-09,-1.9685000000000001
2000-05-10,-0.6024
2000-05-11,3.0303
2000-05-12,-0.3922
2000-05-15,1.5748
2000-05-16,-0.969
2000-05-17,-0.5871
2000-05-18,0.3937
2000-05-19,-1.7647
2000-05-22,2.1955999999999998
2000-05-23,0.5859
