ticker,UBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-22,-0.484
2010-01-25,-1.0561
2010-01-26,-0.3933
2010-01-27,0.5781
2010-01-28,-0.3785
2010-01-29,1.7872
2010-02-01,-1.6176
2010-02-02,0.3232
2010-02-03,-2.3112
2010-02-04,3.1546
2010-02-05,0.3753
2010-02-08,0.4293
2010-02-09,-2.0408
2010-02-10,-1.9144
2010-02-11,-1.1338
2010-02-12,0.7839
2010-02-16,0.3745
2010-02-17,-2.1237
2010-02-18,-0.9383
2010-02-19,1.0212
2010-02-22,-0.6153
2010-02-23,2.9923
2010-02-24,0.3864
2010-02-25,1.1833
2010-02-26,1.0004
2010-03-01,0.1116
2010-03-02,-0.3344
2010-03-03,-0.4474
2010-03-04,0.7584
2010-03-05,-2.5091
2010-03-08,-1.058
2010-03-09,0.1879
2010-03-10,-0.4327
2010-03-11,0.5215
2010-03-12,1.225
2010-03-15,-0.0427
2010-03-16,1.4243000000000001
2010-03-17,0.8426
2010-03-18,-0.7102
2010-03-19,0.4067
2010-03-22,0.1956
2010-03-23,-0.948
2010-03-24,-3.6095
2010-03-25,-1.3737
2010-03-26,0.5927
2010-03-29,-0.6923
2010-03-30,0.534
2010-03-31,1.3426
2010-04-01,-0.4076
2010-04-05,-3.3036
2010-04-06,0.2268
2010-04-07,2.5189
2010-04-08,0.1471
2010-04-09,0.382
2010-04-12,1.1415
2010-04-13,0.6222
2010-04-14,-1.4236
2010-04-15,0.4085
2010-04-16,1.4093
2010-04-19,-0.5158
2010-04-20,0.6624
2010-04-21,1.6452
2010-04-22,-0.6615
2010-04-23,-0.6376
2010-04-26,0.2139
2010-04-27,2.9737999999999998
2010-04-28,-1.7549000000000001
2010-04-29,0.6751
2010-04-30,2.4029
2010-05-03,-0.191
2010-05-04,3.4718
2010-05-05,1.1625
2010-05-06,5.9154
2010-05-07,-2.2932
2010-05-10,-4.2524
2010-05-11,-0.2372
2010-05-12,-1.6909
2010-05-13,1.169
2010-05-14,3.7455
2010-05-17,-0.8066
2010-05-18,3.0201
2010-05-19,0.8018
2010-05-20,4.1014
2010-05-21,0.2746
2010-05-24,-0.7263
2010-05-25,1.0794
2010-05-26,-0.5814
2010-05-27,-4.5948
2010-05-28,0.9007
2010-06-01,1.4381
2010-06-02,-2.0287
2010-06-03,-1.2976
2010-06-04,5.4094999999999995
2010-06-07,1.4628
2010-06-08,-0.9336
2010-06-09,-0.2266
2010-06-10,-3.7064
2010-06-11,2.6074
2010-06-14,-0.956
