ticker,GWW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.9215999999999998
2000-01-04,-2.8571
2000-01-05,1.4006
2000-01-06,-0.4144
2000-01-07,-1.5257
2000-01-10,4.3662
2000-01-11,4.7233
2000-01-12,3.3505
2000-01-13,3.7406
2000-01-14,6.9712
2000-01-18,-1.7978
2000-01-19,0.4577
2000-01-20,-0.4556
2000-01-21,-1.0297
2000-01-24,0.2312
2000-01-25,-5.075
2000-01-26,-2.0656
2000-01-27,-0.2481
2000-01-28,-4.2289
2000-01-31,-0.3896
2000-02-01,-2.086
2000-02-02,1.0652
2000-02-03,0.469
2000-02-04,1.0526
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,1.5625
2000-02-10,2.8205
2000-02-11,2.8678
2000-02-14,2.4242
2000-02-15,-3.432
2000-02-16,-0.8578
2000-02-17,-1.2361
2000-02-18,-4.6308
2000-02-22,-1.8373
2000-02-23,0.8021
2000-02-24,-2.9177999999999997
2000-02-25,-5.3279
2000-02-28,0.4329
2000-02-29,-1.5805
2000-03-01,-1.8978000000000002
2000-03-02,-5.506
2000-03-03,2.2047
2000-03-06,-0.3082
2000-03-07,-3.864
2000-03-08,-2.8939
2000-03-09,7.1192
2000-03-10,-2.0093
2000-03-13,-2.0505
2000-03-14,17.2303
2000-03-15,3.1593
2000-03-16,8.655100000000001
2000-03-17,-1.1029
2000-03-20,-0.3717
2000-03-21,3.2338
2000-03-22,1.9277
2000-03-23,4.0189
2000-03-24,0.6818
2000-03-27,-0.6772
2000-03-28,1.8182
2000-03-29,0.0
2000-03-30,-2.6786
2000-03-31,-0.4587
2000-04-03,2.0737
2000-04-04,-2.9345
2000-04-05,-5.5814
2000-04-06,1.601
2000-04-07,-4.1212
2000-04-10,-1.5171000000000001
2000-04-11,2.5674
2000-04-12,1.2516
2000-04-13,-0.8653
2000-04-14,-9.7257
2000-04-17,2.4862
2000-04-18,-1.6173
2000-04-19,-3.2877
2000-04-20,-0.8499
2000-04-24,-3.0
2000-04-25,2.5037000000000003
2000-04-26,-0.7184
2000-04-27,-0.1447
2000-04-28,0.5797
2000-05-01,4.4669
2000-05-02,-1.6552
2000-05-03,0.0
2000-05-04,-0.0393
2000-05-05,2.3944
2000-05-08,-3.0261
2000-05-09,0.1418
2000-05-10,-1.1331
2000-05-11,-0.1433
2000-05-12,-2.8693999999999997
2000-05-15,5.6129999999999995
2000-05-16,0.1399
2000-05-17,0.1397
2000-05-18,0.1395
2000-05-19,-0.2786
