ticker,FOM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.4405
2000-01-04,0.2212
2000-01-05,-0.2208
2000-01-06,0.2212
2000-01-07,0.2208
2000-01-10,0.0
2000-01-11,-0.4405
2000-01-12,-0.2212
2000-01-13,0.6652
2000-01-14,-0.4405
2000-01-18,0.4425
2000-01-19,0.2203
2000-01-20,-0.2198
2000-01-21,0.0
2000-01-24,0.2203
2000-01-25,0.2198
2000-01-26,0.0
2000-01-27,0.4386
2000-01-28,0.0
2000-01-31,-0.2183
2000-02-01,0.6565
2000-02-02,0.0
2000-02-03,0.8696
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,0.0
2000-02-10,0.0
2000-02-11,0.0948
2000-02-14,0.216
2000-02-15,0.0
2000-02-16,-0.2155
2000-02-17,0.216
2000-02-18,0.0
2000-02-22,-0.431
2000-02-23,0.4329
2000-02-24,0.0
2000-02-25,-0.431
2000-02-28,0.4329
2000-02-29,0.2155
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,-0.2151
2000-03-06,0.431
2000-03-07,0.4292
