ticker,569449Q US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,12.7273
2000-01-04,-4.8387
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,13.5593
2000-01-10,16.4179
2000-01-11,-5.1282
2000-01-12,-4.0541
2000-01-13,1.4085
2000-01-14,2.7778
2000-01-18,-2.7027
2000-01-19,1.3889
2000-01-20,-1.3699
2000-01-21,1.3889
2000-01-24,-1.3699
2000-01-25,-4.1667
2000-01-26,1.4493
2000-01-27,5.7143
2000-01-28,2.7027
2000-01-31,2.6316
2000-02-01,-1.2821
2000-02-02,-2.5974
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,6.6667
2000-02-08,15.0
2000-02-09,23.913
2000-02-10,9.6491
2000-02-11,-12.0
2000-02-14,7.2727
2000-02-15,1.6949
2000-02-16,-4.1667
2000-02-17,3.4783
2000-02-18,5.8824
2000-02-22,-3.1746
2000-02-23,1.6393
2000-02-24,-4.0323
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,12.605
2000-03-01,-3.7313
2000-03-02,-0.7752
2000-03-03,-0.7813
2000-03-06,-7.0866
2000-03-07,5.0847
2000-03-08,2.4194
2000-03-09,5.5118
2000-03-10,7.4627
2000-03-13,-6.9444
2000-03-14,0.7463
2000-03-15,-5.9259
2000-03-16,-3.1496
2000-03-17,-3.252
2000-03-20,0.8403
2000-03-21,0.0
2000-03-22,-1.6667
2000-03-23,2.5423999999999998
2000-03-24,2.4793
2000-03-27,8.871
2000-03-28,-5.1852
2000-03-29,-3.9063
2000-03-30,-3.252
2000-03-31,-4.2017
2000-04-03,-7.0175
2000-04-04,-5.6604
2000-04-05,3.0
2000-04-06,-1.9417
2000-04-07,-0.9901
2000-04-10,-5.0
2000-04-11,2.1053
2000-04-12,-4.1237
2000-04-13,-7.5269
2000-04-14,-9.3023
2000-04-17,0.0
2000-04-18,2.5641
2000-04-19,-2.5
2000-04-20,2.5641
2000-04-24,0.0
2000-04-25,-5.0
2000-04-26,5.2632
2000-04-27,-2.5
2000-04-28,1.2821
2000-05-01,1.2658
2000-05-02,0.0
2000-05-03,0.0
2000-05-04,2.5
2000-05-05,-2.439
2000-05-08,0.0
2000-05-09,-2.5
2000-05-10,2.5641
2000-05-11,0.0
2000-05-12,0.0
2000-05-15,1.25
2000-05-16,0.0
2000-05-17,-1.2346
2000-05-18,0.0
2000-05-19,-5.0
2000-05-22,-2.6316
2000-05-23,0.0
2000-05-24,-8.1081
2000-05-25,-5.8824
2000-05-26,0.0
