ticker,PRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1561
2000-01-04,-4.0936
2000-01-05,-1.2195
2000-01-06,-0.6173
2000-01-07,1.0352
2000-01-10,0.0
2000-01-11,-2.459
2000-01-12,0.2101
2000-01-13,0.0
2000-01-14,0.2096
2000-01-18,0.2092
2000-01-19,-3.9666
2000-01-20,0.8696
2000-01-21,0.2155
2000-01-24,2.1505
2000-01-25,0.0
2000-01-26,0.8421
2000-01-27,0.0
2000-01-28,-1.8789
2000-01-31,-1.2766
2000-02-01,2.5862
2000-02-02,5.8824
2000-02-03,-2.1825
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,-0.2028
2000-02-09,0.2033
2000-02-10,5.8824
2000-02-11,2.682
2000-02-14,-2.9851
2000-02-15,-0.7692
2000-02-16,1.0
2000-02-17,1.5474
2000-02-18,-2.2857
2000-02-22,-1.5594999999999999
2000-02-23,-1.1881
2000-02-24,0.0
2000-02-25,0.6012
2000-02-28,-0.3984
2000-02-29,-0.8
2000-03-01,-0.4032
2000-03-02,0.4049
2000-03-03,-0.8065
2000-03-06,-0.6098
2000-03-07,-1.227
2000-03-08,0.4141
2000-03-09,2.268
2000-03-10,0.8065
2000-03-13,-0.4
2000-03-14,0.6024
2000-03-15,4.7904
2000-03-16,9.9048
2000-03-17,-2.5997
2000-03-20,-2.1352
2000-03-21,2.3636
2000-03-22,-0.5329
2000-03-23,-1.0714
2000-03-24,0.361
2000-03-27,-2.6978
2000-03-28,2.5878
2000-03-29,-1.0811
2000-03-30,4.3716
2000-03-31,2.7923
2000-04-03,-0.1698
2000-04-04,-4.0816
2000-04-05,7.8014
2000-04-06,1.4803
2000-04-07,-1.1345
2000-04-10,-1.1475
2000-04-11,-0.4975
2000-04-12,1.3333
2000-04-13,0.4934
2000-04-14,-3.6007
2000-04-17,-2.2071
2000-04-18,1.7361
2000-04-19,-1.8771
2000-04-20,-0.8696
2000-04-24,0.0
2000-04-25,2.1053
2000-04-26,0.5155
2000-04-27,-0.5128
2000-04-28,1.0309
2000-05-01,-0.5102
2000-05-02,1.5385
2000-05-03,-0.8418
2000-05-04,1.1885
2000-05-05,1.6779
2000-05-08,0.33
2000-05-09,-1.1513
2000-05-10,-4.1597
2000-05-11,2.2569
2000-05-12,-0.5093
2000-05-15,1.7065000000000001
2000-05-16,2.5168
2000-05-17,-0.3273
2000-05-18,0.1905
2000-05-19,-1.6502
2000-05-22,0.5034
2000-05-23,0.8347
2000-05-24,0.3311
