ticker,TSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.6536
2000-01-04,-2.6316
2000-01-05,-0.6757
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,2.7211
2000-01-11,0.0
2000-01-12,0.0
2000-01-13,0.6623
2000-01-14,2.6316
2000-01-18,2.5641
2000-01-19,5.625
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,0.5917
2000-01-25,-1.1764999999999999
2000-01-26,-1.1905000000000001
2000-01-27,-0.6024
2000-01-28,-0.6061
2000-01-31,-1.2195
2000-02-01,0.0
2000-02-02,5.5556
2000-02-03,0.5848
2000-02-04,-2.3256
2000-02-07,-1.1905000000000001
2000-02-08,0.6024
2000-02-09,-1.1976
2000-02-10,0.0
2000-02-11,-1.8182
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,1.2346
2000-02-17,-1.2195
2000-02-18,1.2346
2000-02-22,-1.2195
2000-02-23,0.6173
2000-02-24,0.6135
2000-02-25,-1.2195
2000-02-28,0.6173
2000-02-29,1.227
2000-03-01,1.2121
2000-03-02,-0.5988
2000-03-03,-0.6024
2000-03-06,-0.6061
2000-03-07,-1.2195
2000-03-08,0.6173
2000-03-09,0.0
2000-03-10,0.0
2000-03-13,1.227
2000-03-14,0.0
2000-03-15,0.6061
2000-03-16,1.2048
2000-03-17,-1.1905000000000001
2000-03-20,0.0
2000-03-21,5.4217
2000-03-22,-3.4286
2000-03-23,0.5917
2000-03-24,1.7647
2000-03-27,1.1561
2000-03-28,0.0
2000-03-29,1.3486
2000-03-30,-1.7241
2000-03-31,-1.1696
2000-04-03,-2.3669000000000002
2000-04-04,-3.0303
2000-04-05,0.625
2000-04-06,2.4845
2000-04-07,0.6061
2000-04-10,0.0
2000-04-11,1.2048
2000-04-12,-0.5952
2000-04-13,1.1976
2000-04-14,-3.5503
2000-04-17,0.0
2000-04-18,0.6135
2000-04-19,0.6098
2000-04-20,0.0
2000-04-24,-1.2121
2000-04-25,1.227
2000-04-26,0.6061
2000-04-27,-1.2048
2000-04-28,0.0
2000-05-01,0.0
2000-05-02,1.2195
2000-05-03,-0.6024
2000-05-04,-1.2121
2000-05-05,0.6135
2000-05-08,-0.6098
2000-05-09,-0.6135
2000-05-10,-1.8519
2000-05-11,0.6289
2000-05-12,0.0
2000-05-15,-0.625
2000-05-16,0.6289
2000-05-17,0.625
2000-05-18,-1.8634
2000-05-19,0.6329
2000-05-22,0.6289
2000-05-23,0.625
2000-05-24,2.4845
2000-05-25,2.4242
