ticker,TGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-9.0323
2000-01-04,-0.7092
2000-01-05,3.9286
2000-01-06,2.0619
2000-01-07,-3.0303
2000-01-10,-3.125
2000-01-11,-1.4337
2000-01-12,2.5455
2000-01-13,6.7376000000000005
2000-01-14,-4.3189
2000-01-18,-0.3472
2000-01-19,0.0
2000-01-20,-3.1359
2000-01-21,1.0791
2000-01-24,-0.3559
2000-01-25,1.4285999999999999
2000-01-26,2.4648
2000-01-27,-0.6873
2000-01-28,-0.692
2000-01-31,0.6969
2000-02-01,-0.346
2000-02-02,-2.0833
2000-02-03,2.8369
2000-02-04,-0.6897
2000-02-07,0.6944
2000-02-08,0.3448
2000-02-09,0.0
2000-02-10,0.0
2000-02-11,-1.0309
2000-02-14,-0.6944
2000-02-15,-0.6993
2000-02-16,0.7042
2000-02-17,0.6993
2000-02-18,-4.1667
