ticker,EXP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.4487
2000-01-04,-2.9153000000000002
2000-01-05,-1.5734
2000-01-06,-1.2433
2000-01-07,1.7986
2000-01-10,-2.2968
2000-01-11,1.6275
2000-01-12,1.0676
2000-01-13,2.2887
2000-01-14,-2.5818
2000-01-18,0.53
2000-01-19,0.0
2000-01-20,0.5272
2000-01-21,-1.9231
2000-01-24,0.1783
2000-01-25,-0.7117
2000-01-26,-0.1792
2000-01-27,-0.1795
2000-01-28,-2.1583
2000-01-31,-4.7794
2000-02-01,-3.0888
2000-02-02,0.3984
2000-02-03,-5.1587
2000-02-04,-0.8368
2000-02-07,-1.2658
2000-02-08,1.0684
2000-02-09,1.0571
2000-02-10,-0.8368
2000-02-11,-0.8439
2000-02-14,-0.4255
2000-02-15,-0.4274
2000-02-16,-1.7167
2000-02-17,-4.8035
2000-02-18,-0.6881
2000-02-22,-1.6166
2000-02-23,0.4695
2000-02-24,-3.5047
2000-02-25,0.0
2000-02-28,-8.7167
2000-02-29,-1.3263
2000-03-01,-2.4194
2000-03-02,2.2039
2000-03-03,0.8086
2000-03-06,0.5348
2000-03-07,0.7979
2000-03-08,-2.1108
2000-03-09,-2.1563
2000-03-10,1.3774
2000-03-13,1.087
2000-03-14,2.1505
2000-03-15,1.3158
2000-03-16,10.6494
2000-03-17,-0.939
2000-03-20,1.4218
2000-03-21,-2.8037
2000-03-22,0.9615
2000-03-23,6.1905
2000-03-24,2.6906
2000-03-27,5.8952
2000-03-28,-3.0928
2000-03-29,0.8511
2000-03-30,-1.2658
2000-03-31,-10.0855
2000-04-03,5.2381
2000-04-04,-0.2262
2000-04-05,-0.907
2000-04-06,-0.4577
2000-04-07,0.9195
2000-04-10,4.1002
2000-04-11,1.9694
2000-04-12,0.0
2000-04-13,1.2876
2000-04-14,0.2119
2000-04-17,0.0
2000-04-18,-2.537
2000-04-19,3.2538
2000-04-20,0.0
2000-04-24,-0.4202
2000-04-25,2.9536
2000-04-26,-0.8197
2000-04-27,0.0
2000-04-28,2.0661
2000-05-01,0.8097
2000-05-02,-0.4016
2000-05-03,-3.4274
2000-05-04,0.6263
2000-05-05,0.8299
2000-05-08,1.2346
2000-05-09,1.4228
2000-05-10,-1.002
2000-05-11,0.6073
2000-05-12,1.6097000000000001
2000-05-15,0.0
2000-05-16,0.5941
2000-05-17,0.5906
2000-05-18,-0.5871
2000-05-19,-0.5906
2000-05-22,0.9901
2000-05-23,-0.1961
