ticker,CSL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.1667
2000-01-04,-2.8986
2000-01-05,3.3582
2000-01-06,2.7076000000000002
2000-01-07,-1.5817
2000-01-10,-2.5
2000-01-11,-2.0147
2000-01-12,0.1869
2000-01-13,0.0
2000-01-14,-1.306
2000-01-18,0.189
2000-01-19,-0.7547
2000-01-20,-0.3802
2000-01-21,-0.3817
2000-01-24,-1.5326
2000-01-25,-1.751
2000-01-26,2.5743
2000-01-27,-1.5444
2000-01-28,-0.9804
2000-01-31,2.3762
2000-02-01,-3.4816
2000-02-02,1.2024
2000-02-03,3.1683
2000-02-04,3.8388
2000-02-07,-1.2939
2000-02-08,-1.4981
2000-02-09,-0.5703
2000-02-10,-0.956
2000-02-11,-0.9653
2000-02-14,1.5594999999999999
2000-02-15,2.6871
2000-02-16,0.1645
2000-02-17,2.6266
2000-02-18,-3.6563
2000-02-22,-0.9488
2000-02-23,0.5747
2000-02-24,-3.0476
2000-02-25,-0.7859
2000-02-28,1.7822
2000-02-29,3.1128
2000-03-01,-0.9434
2000-03-02,0.381
2000-03-03,0.1898
2000-03-06,-3.0303
2000-03-07,0.1953
2000-03-08,1.5594999999999999
2000-03-09,1.3436
2000-03-10,-0.7576
2000-03-13,-1.7176
2000-03-14,0.9709
2000-03-15,2.8846
2000-03-16,5.2336
2000-03-17,-1.421
2000-03-20,0.3604
2000-03-21,0.3591
2000-03-22,0.3578
2000-03-23,2.4955
2000-03-24,2.9565
2000-03-27,-2.027
2000-03-28,6.8966
2000-03-29,2.9032
2000-03-30,1.4107
2000-03-31,-1.0819
2000-04-03,-1.7187999999999999
2000-04-04,-1.1129
2000-04-05,1.6077
2000-04-06,0.9494
2000-04-07,-0.1567
2000-04-10,-0.471
2000-04-11,-0.3155
2000-04-12,3.3228
2000-04-13,-0.3063
2000-04-14,-3.8402
2000-04-17,0.0
2000-04-18,2.3962
2000-04-19,0.624
2000-04-20,1.3953
2000-04-24,-0.4587
2000-04-25,-0.768
2000-04-26,-0.4644
2000-04-27,0.1555
2000-04-28,2.3292
2000-05-01,1.6692
2000-05-02,-0.1493
2000-05-03,-0.4484
2000-05-04,4.0541
2000-05-05,0.1443
2000-05-08,2.5937
2000-05-09,-1.6854
2000-05-10,-1.5714000000000001
2000-05-11,2.7576
2000-05-12,-1.9774
2000-05-15,0.2709
2000-05-16,2.0202
2000-05-17,0.1414
2000-05-18,-0.565
2000-05-19,-1.4205
2000-05-22,-0.5764
