ticker,AVT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.0661
2000-01-04,-4.6414
2000-01-05,-4.5354
2000-01-06,-1.1587
2000-01-07,1.1723
2000-01-10,2.2016
2000-01-11,-0.5669
2000-01-12,1.7104
2000-01-13,0.5605
2000-01-14,4.4593
2000-01-18,2.2412
2000-01-19,-1.7745
2000-01-20,-0.3188
2000-01-21,-0.9595
2000-01-24,-0.4306
2000-01-25,0.0
2000-01-26,0.7568
2000-01-27,-1.7167
2000-01-28,-6.5502
2000-01-31,0.3505
2000-02-01,-2.4447
2000-02-02,1.432
2000-02-03,4.4706
2000-02-04,-2.9279
2000-02-07,-2.3202
2000-02-08,-0.3563
2000-02-09,-2.6222
2000-02-10,1.224
2000-02-11,-3.1439
2000-02-14,6.4919
2000-02-15,-1.6413
2000-02-16,-2.9797000000000002
2000-02-17,0.4914
2000-02-18,0.6112
2000-02-22,1.3366
2000-02-23,4.0767
2000-02-24,29.0323
2000-02-25,-4.2857
2000-02-28,-0.0933
2000-02-29,-0.0934
2000-03-01,-2.1495
2000-03-02,-1.9102000000000001
2000-03-03,1.2658
2000-03-06,-0.5769
2000-03-07,-8.8008
2000-03-08,4.3478
2000-03-09,4.9797
2000-03-10,-1.7425000000000002
2000-03-13,-4.9261
2000-03-14,-0.2073
2000-03-15,-5.3583
2000-03-16,4.6205
2000-03-17,3.7855
2000-03-20,-1.925
2000-03-21,0.4132
2000-03-22,1.2346
2000-03-23,-1.4228
2000-03-24,2.1649
2000-03-27,-1.6145
2000-03-28,7.4872
2000-03-29,-6.1068999999999996
2000-03-30,-2.5407
2000-03-31,5.1095
2000-04-03,-2.6786
2000-04-04,2.7523
2000-04-05,6.25
2000-04-06,1.8674
2000-04-07,1.6499000000000001
2000-04-10,-3.6069
2000-04-11,1.7774
2000-04-12,-1.5625
2000-04-13,2.3343
2000-04-14,-8.5766
2000-04-17,5.9879999999999995
2000-04-18,6.7797
2000-04-19,-2.0282
2000-04-20,0.9901
2000-04-24,0.5348
2000-04-25,4.1667
2000-04-26,1.0213
2000-04-27,2.7801
2000-04-28,3.1148
2000-05-01,-0.2385
2000-05-02,-0.1594
2000-05-03,-5.427
2000-05-04,1.1814
2000-05-05,0.834
2000-05-08,-1.158
2000-05-09,-2.5105
2000-05-10,1.4592
2000-05-11,-0.5922
2000-05-12,-0.8511
2000-05-15,0.3433
2000-05-16,5.047
2000-05-17,-1.9544000000000001
2000-05-18,-2.4086
2000-05-19,-4.8511
