ticker,ILN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0791
2000-01-04,1.2727
2000-01-05,4.6679
2000-01-06,7.0326
2000-01-07,5.2885
2000-01-10,1.6743000000000001
2000-01-11,2.0958
2000-01-12,2.7859
2000-01-13,0.2853
2000-01-14,-4.2674
2000-01-18,-1.6345
2000-01-19,1.5106000000000002
2000-01-20,-0.744
2000-01-21,2.9985
2000-01-24,2.329
2000-01-25,-5.1209
2000-01-26,-0.1499
2000-01-27,1.5015
2000-01-28,2.071
2000-01-31,1.4493
2000-02-01,7.5657
