ticker,TSTY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.7037
2000-01-04,-4.2857
2000-01-05,8.9552
2000-01-06,2.7397
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,-7.3333
2000-01-12,-2.1583
2000-01-13,2.2059
2000-01-14,3.5971
2000-01-18,-2.0833
2000-01-19,-2.8369
2000-01-20,1.4599
2000-01-21,-1.4388
2000-01-24,5.1095
2000-01-25,0.0
2000-01-26,4.8611
2000-01-27,0.6623
2000-01-28,0.0
2000-01-31,-2.6316
2000-02-01,8.1081
2000-02-02,1.875
2000-02-03,0.0
2000-02-04,3.0675
2000-02-07,0.0
2000-02-08,3.5714
2000-02-09,5.7471
2000-02-10,1.0435
2000-02-11,1.087
2000-02-14,-2.1505
2000-02-15,-1.0989
2000-02-16,-5.0
2000-02-17,2.3392
2000-02-18,-1.1429
2000-02-22,-2.3121
2000-02-23,2.9586
2000-02-24,1.1494
2000-02-25,-1.1364
2000-02-28,-3.4483
2000-02-29,-1.1905000000000001
2000-03-01,7.2289
2000-03-02,-2.2472
2000-03-03,1.1494
2000-03-06,-2.8409
2000-03-07,1.1696
2000-03-08,0.0
2000-03-09,2.8902
2000-03-10,-3.3708
2000-03-13,-4.0698
2000-03-14,2.4242
2000-03-15,2.9586
2000-03-16,-2.8736
2000-03-17,2.3669000000000002
2000-03-20,-0.578
2000-03-21,3.4884
2000-03-22,-2.2472
2000-03-23,-2.2989
2000-03-24,3.5294
2000-03-27,-0.5682
2000-03-28,-2.8571
2000-03-29,1.1764999999999999
2000-03-30,-2.3256
2000-03-31,1.7856999999999998
2000-04-03,-1.1696
2000-04-04,-6.5089
2000-04-05,-3.1646
2000-04-06,0.6536
2000-04-07,1.2987
2000-04-10,2.5641
2000-04-11,5.0
2000-04-12,-2.3810000000000002
2000-04-13,9.7561
2000-04-14,-1.1111
2000-04-17,-1.6854
2000-04-18,-0.5714
2000-04-19,-3.4483
2000-04-20,1.1905000000000001
2000-04-24,-1.1764999999999999
2000-04-25,2.9762
2000-04-26,0.578
2000-04-27,2.2989
2000-04-28,-1.6854
2000-05-01,3.4286
2000-05-02,-1.105
2000-05-03,1.1173
2000-05-04,1.105
2000-05-05,2.7321999999999997
2000-05-08,6.9149
2000-05-09,-2.4876
2000-05-10,-1.0612
2000-05-11,0.0
2000-05-12,-1.5625
2000-05-15,6.8783
2000-05-16,0.0
2000-05-17,-0.9901
2000-05-18,0.0
2000-05-19,-1.5
2000-05-22,1.0152
