ticker,ETS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.6442
2000-01-04,-7.26
2000-01-05,-1.7677
2000-01-06,-2.3136
2000-01-07,-1.3158
2000-01-10,0.2667
2000-01-11,3.7234
2000-01-12,1.5385
2000-01-13,1.0101
2000-01-14,16.0
2000-01-18,-10.3448
2000-01-19,0.9615
2000-01-20,5.0
2000-01-21,-0.2268
2000-01-24,3.4091
2000-01-25,-0.8791
2000-01-26,-3.1042
2000-01-27,2.2883
2000-01-28,-4.9216999999999995
2000-01-31,-1.1764999999999999
2000-02-01,-0.7143
2000-02-02,3.1175
2000-02-03,0.4651
2000-02-04,3.9352
2000-02-07,2.0045
2000-02-08,10.917
2000-02-09,3.1496
2000-02-10,11.8321
2000-02-11,5.4608
2000-02-14,-4.2071
2000-02-15,-4.0541
2000-02-16,0.1761
2000-02-17,1.2302
2000-02-18,-0.8681
2000-02-22,-2.2767
2000-02-23,3.2258
2000-02-24,20.8333
2000-02-25,1.1494
2000-02-28,-0.4261
2000-02-29,11.8402
2000-03-01,-1.2755
2000-03-02,1.1628
2000-03-03,1.9157
2000-03-06,-1.2530999999999999
2000-03-07,-9.5178
2000-03-08,-0.8415
2000-03-09,10.3253
2000-03-10,-1.6667
2000-03-13,0.7823
2000-03-14,-2.7167
2000-03-15,-5.1862
2000-03-16,-1.2623
2000-03-17,4.5455
2000-03-20,1.2227999999999999
2000-03-21,1.3423
2000-03-22,0.6623
2000-03-23,0.3947
2000-03-24,-2.228
2000-03-27,9.1153
2000-03-28,2.2113
2000-03-29,-4.0865
2000-03-30,-39.8496
2000-03-31,-1.6667
2000-04-03,-15.2542
2000-04-04,-5.5
2000-04-05,-2.6455
2000-04-06,6.5217
2000-04-07,19.898
2000-04-10,-0.4255
2000-04-11,-7.265
2000-04-12,-7.8341
2000-04-13,-8.0
2000-04-14,-13.3152
2000-04-17,-6.5831
2000-04-18,6.7114
2000-04-19,2.8302
2000-04-20,-0.6116
2000-04-24,-3.3846
2000-04-25,14.0127
2000-04-26,2.2346
2000-04-27,3.5519
2000-04-28,-3.4301
2000-05-01,8.1967
2000-05-02,8.8384
2000-05-03,-6.2645
2000-05-04,0.7426
2000-05-05,5.6511
2000-05-08,-6.0465
2000-05-09,-2.7228
2000-05-10,-7.1247
2000-05-11,5.7534
2000-05-12,3.6269
2000-05-15,2.0
2000-05-16,3.9215999999999998
2000-05-17,-4.717
2000-05-18,-1.9802
2000-05-19,-6.5657
2000-05-22,-2.7027
