ticker,ZNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.2121
2000-01-04,-1.5337
2000-01-05,0.9346
2000-01-06,0.0
2000-01-07,4.9383
2000-01-10,-1.1764999999999999
2000-01-11,0.8929
2000-01-12,0.0
2000-01-13,-0.295
2000-01-14,1.1834
2000-01-18,-0.2924
2000-01-19,-0.5865
2000-01-20,-0.59
2000-01-21,-0.5935
2000-01-24,0.0
2000-01-25,-0.2985
2000-01-26,-0.8982
2000-01-27,-1.2085
2000-01-28,-0.3096
2000-01-31,4.0373
2000-02-01,-0.8955
2000-02-02,-1.2048
2000-02-03,-0.9146
2000-02-04,-2.1538
2000-02-07,0.0
2000-02-08,-0.6289
2000-02-09,-0.6329
2000-02-10,-3.5032
2000-02-11,0.6601
2000-02-14,-0.3279
2000-02-15,1.9737
2000-02-16,-0.9677
2000-02-17,0.6515
2000-02-18,0.6472
2000-02-22,-1.6077
2000-02-23,0.9804
2000-02-24,-1.2945
2000-02-25,-0.3279
2000-02-28,3.6184
2000-02-29,7.3016
2000-03-01,1.7751000000000001
2000-03-02,-1.1628
2000-03-03,-2.0588
2000-03-06,1.5015
2000-03-07,-2.3669000000000002
2000-03-08,-1.2121
2000-03-09,1.227
2000-03-10,-0.9091
2000-03-13,-0.3058
2000-03-14,0.0
2000-03-15,1.227
2000-03-16,0.9091
2000-03-17,-0.3003
2000-03-20,-1.8072
2000-03-21,0.0
2000-03-22,0.6135
2000-03-23,0.9146
2000-03-24,-1.2085
2000-03-27,0.9174
2000-03-28,2.7273
2000-03-29,2.3599
2000-03-30,1.4409
2000-03-31,0.8523
2000-04-03,0.8451
2000-04-04,2.2346
2000-04-05,3.2787
2000-04-06,1.3228
2000-04-07,1.3054999999999999
2000-04-10,0.2577
2000-04-11,0.0
2000-04-12,0.2571
2000-04-13,-2.5641
2000-04-14,-0.2632
2000-04-17,1.3193
2000-04-18,0.5208
2000-04-19,0.0
2000-04-20,0.0
2000-04-24,-0.2591
2000-04-25,1.8182
2000-04-26,0.7653
2000-04-27,-0.2558
2000-04-28,0.5128
2000-05-01,1.5306
2000-05-02,-0.7538
2000-05-03,-0.5063
2000-05-04,1.0178
2000-05-05,-0.2519
2000-05-08,-0.5051
2000-05-09,0.5076
2000-05-10,-0.2525
2000-05-11,-0.2532
2000-05-12,-0.2538
2000-05-15,0.2545
2000-05-16,0.0
2000-05-17,-0.5076
2000-05-18,-1.5306
2000-05-19,-0.7772
2000-05-22,0.2611
2000-05-23,-0.7813
