ticker,IRF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.125
2000-01-04,-4.7146
2000-01-05,-1.0417
2000-01-06,2.8947000000000003
2000-01-07,-2.8133
2000-01-10,8.9474
2000-01-11,-2.1739
2000-01-12,2.963
2000-01-13,-0.2398
2000-01-14,1.9231
2000-01-18,0.2358
2000-01-19,0.7059
2000-01-20,4.2056000000000004
2000-01-21,20.4036
2000-01-24,1.4898
2000-01-25,5.8716
2000-01-26,-2.5997
2000-01-27,-3.3808
2000-01-28,-0.1842
2000-01-31,-1.845
2000-02-01,6.5789
2000-02-02,3.5273
2000-02-03,3.4072
2000-02-04,0.1647
2000-02-07,0.8224
2000-02-08,2.2838
2000-02-09,0.9569
2000-02-10,0.7899
2000-02-11,-0.1567
2000-02-14,-8.3203
2000-02-15,-2.226
2000-02-16,4.9037
2000-02-17,1.6694
2000-02-18,-4.9261
2000-02-22,-0.5181
2000-02-23,3.8194
2000-02-24,2.3411
2000-02-25,-2.9412000000000003
2000-02-28,-1.5152
2000-02-29,14.5299
2000-03-01,0.0
2000-03-02,3.5821
2000-03-03,4.3228
2000-03-06,1.6575
2000-03-07,-1.7663
2000-03-08,-4.5643
2000-03-09,0.2899
2000-03-10,-0.289
2000-03-13,-2.3188
2000-03-14,2.0772
2000-03-15,-6.25
2000-03-16,3.876
2000-03-17,3.2836
2000-03-20,0.1445
2000-03-21,1.1544
2000-03-22,0.1427
2000-03-23,1.2821
2000-03-24,-0.9845
2000-03-27,3.9773
2000-03-28,-5.6011
2000-03-29,-3.0391
2000-03-30,-4.0299
2000-03-31,-5.1322
2000-04-03,-7.0492
2000-04-04,8.2892
2000-04-05,2.7687
2000-04-06,7.7655
2000-04-07,2.7941000000000003
2000-04-10,-5.8655
2000-04-11,-0.7599
2000-04-12,-10.5666
2000-04-13,-0.3425
2000-04-14,-12.8866
2000-04-17,10.6509
2000-04-18,10.3387
2000-04-19,17.609
2000-04-20,-6.7308
2000-04-24,-2.7982
2000-04-25,13.3333
2000-04-26,-5.615
2000-04-27,12.1813
2000-04-28,-1.0101
2000-05-01,-2.2959
2000-05-02,-2.6109999999999998
2000-05-03,-2.9491
2000-05-04,0.5525
2000-05-05,2.1978
2000-05-08,0.0
2000-05-09,-6.9892
2000-05-10,-12.5723
2000-05-11,18.5124
2000-05-12,-2.7894
2000-05-15,-0.5739
2000-05-16,3.8961
2000-05-17,-1.3889
2000-05-18,-1.831
2000-05-19,-7.1736
2000-05-22,-2.1638
