ticker,VGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9289
2000-01-04,-0.8621
2000-01-05,-3.0435
2000-01-06,2.2422
2000-01-07,-1.3158
2000-01-10,0.4444
2000-01-11,2.2124
2000-01-12,-0.8658
2000-01-13,0.0
2000-01-14,-0.4367
2000-01-18,0.0
2000-01-19,1.7544
2000-01-20,0.0
2000-01-21,-3.8792999999999997
2000-01-24,0.4484
2000-01-25,6.25
2000-01-26,5.8824
2000-01-27,10.3175
2000-01-28,-6.8345
2000-01-31,0.0
2000-02-01,-1.9304999999999999
2000-02-02,0.7874
2000-02-03,1.1719
2000-02-04,0.7722
2000-02-07,1.5326
2000-02-08,-4.1509
2000-02-09,-3.1496
2000-02-10,-0.813
2000-02-11,0.4098
2000-02-14,-1.6327
2000-02-15,-0.8299
2000-02-16,-0.8368
2000-02-17,0.0
2000-02-18,-2.5316
2000-02-22,0.0
2000-02-23,-0.4329
2000-02-24,-0.8696
2000-02-25,-3.0702
2000-02-28,-2.7149
2000-02-29,-1.3953
2000-03-01,-2.8302
2000-03-02,-3.3981
2000-03-03,1.5074999999999998
2000-03-06,-2.4752
2000-03-07,-3.5533
2000-03-08,-3.1579
2000-03-09,-5.4348
2000-03-10,0.0
2000-03-13,1.7241
2000-03-14,0.565
2000-03-15,-1.1236
2000-03-16,7.9545
2000-03-17,-1.0526
2000-03-20,0.5319
2000-03-21,-0.5291
2000-03-22,-1.5957
2000-03-23,-2.2099
2000-03-24,1.6949
2000-03-27,0.5556
2000-03-28,-2.7624
2000-03-29,0.0
2000-03-30,10.7955
2000-03-31,0.0
2000-04-03,5.641
2000-04-04,-6.7961
2000-04-05,5.2083
2000-04-06,0.0
2000-04-07,0.0
2000-04-10,7.9208
2000-04-11,2.7523
2000-04-12,-1.7856999999999998
2000-04-13,5.4545
2000-04-14,0.8621
2000-04-17,0.4274
2000-04-18,4.2553
2000-04-19,-4.4898
2000-04-20,-1.2821
2000-04-24,-1.7316
2000-04-25,-4.4053
2000-04-26,-4.6083
2000-04-27,2.8986
2000-04-28,4.2254
2000-05-01,4.955
2000-05-02,6.4378
2000-05-03,-4.0323
2000-05-04,5.042
2000-05-05,1.6
2000-05-08,-2.3622
2000-05-09,-1.2097
2000-05-10,-0.4082
2000-05-11,-1.6393
2000-05-12,0.4167
2000-05-15,2.4896
2000-05-16,0.0
2000-05-17,-10.1215
2000-05-18,4.955
2000-05-19,-0.8584
2000-05-22,-0.8658
2000-05-23,-3.0568
