ticker,BID US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.125
2000-01-04,-3.4409
2000-01-05,-1.5590000000000002
2000-01-06,0.2262
2000-01-07,-1.1287
2000-01-10,4.3379
2000-01-11,1.7505
2000-01-12,-0.6452
2000-01-13,-0.8658
2000-01-14,0.4367
2000-01-18,-1.7391
2000-01-19,-0.2212
2000-01-20,-3.5477
2000-01-21,-0.9195
2000-01-24,-2.7842000000000002
2000-01-25,0.9547
2000-01-26,-2.8369
2000-01-27,-3.163
2000-01-28,-3.5176
2000-01-31,-14.5833
2000-02-01,-3.9634
2000-02-02,-1.9048
2000-02-03,0.3236
2000-02-04,1.9355
2000-02-07,0.0
2000-02-08,0.9494
2000-02-09,-3.1348
2000-02-10,-2.2654
2000-02-11,-0.9934
2000-02-14,-0.3344
2000-02-15,-0.6711
2000-02-16,-2.027
2000-02-17,-2.7586
2000-02-18,0.7092
2000-02-22,-11.9718
2000-02-23,20.8
2000-02-24,-1.9868000000000001
2000-02-25,5.4054
2000-02-28,9.2949
2000-02-29,-7.6246
2000-03-01,17.1429
2000-03-02,-4.607
2000-03-03,-2.8409
2000-03-06,2.924
2000-03-07,-10.2273
2000-03-08,1.5823
2000-03-09,6.5421
2000-03-10,0.2924
2000-03-13,-4.6647
2000-03-14,-1.5291000000000001
2000-03-15,5.5901
2000-03-16,-5.5882
2000-03-17,0.3115
2000-03-20,-1.5528
2000-03-21,-1.8927
2000-03-22,1.2862
2000-03-23,1.9048
2000-03-24,-3.7382999999999997
2000-03-27,-4.5306999999999995
2000-03-28,-1.0169
2000-03-29,0.6849
2000-03-30,-1.7006999999999999
2000-03-31,3.8062
2000-04-03,-6.6667
2000-04-04,-1.7856999999999998
2000-04-05,-3.2727
2000-04-06,3.3835
2000-04-07,1.4545
2000-04-10,1.0753
2000-04-11,-4.9645
2000-04-12,-1.4925
2000-04-13,1.1364
2000-04-14,-8.2397
2000-04-17,-3.6734999999999998
2000-04-18,14.8305
2000-04-19,-2.214
2000-04-20,-1.8868
2000-04-24,-1.1538
2000-04-25,6.6148
2000-04-26,-0.7299
2000-04-27,-5.5147
2000-04-28,3.1128
2000-05-01,12.0755
2000-05-02,-6.0606
2000-05-03,-5.3763
2000-05-04,2.6515
2000-05-05,0.369
2000-05-08,-1.8382
2000-05-09,0.0
2000-05-10,-1.4981
2000-05-11,7.2243
2000-05-12,-2.1277
2000-05-15,-1.4493
2000-05-16,3.6765
2000-05-17,-3.9007
2000-05-18,-3.69
