ticker,MRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0279
2000-01-04,-6.0831
2000-01-05,0.9479
2000-01-06,-2.0344
2000-01-07,1.9169
2000-01-10,3.4483
2000-01-11,1.8182
2000-01-12,-0.1488
2000-01-13,4.4709
2000-01-14,-0.1427
2000-01-18,0.5714
2000-01-19,5.3977
2000-01-20,3.504
2000-01-21,-2.0833
2000-01-24,-6.9149
2000-01-25,2.0
2000-01-26,-2.521
2000-01-27,-2.8736
2000-01-28,2.5148
2000-01-31,-3.6075
2000-02-01,5.3892
2000-02-02,1.1364
2000-02-03,4.4944
2000-02-04,0.1344
2000-02-07,3.0872
2000-02-08,4.1667
2000-02-09,-4.0
2000-02-10,1.1719
2000-02-11,1.8018
2000-02-14,-3.4134
2000-02-15,-1.0471
2000-02-16,2.9101
2000-02-17,-0.7712
2000-02-18,3.3679
2000-02-22,0.1253
2000-02-23,-3.5044
2000-02-24,0.1297
2000-02-25,1.2953000000000001
2000-02-28,1.2788
2000-02-29,1.8939
2000-03-01,-0.9913
2000-03-02,-4.8811
2000-03-03,3.1579
2000-03-06,4.0816
2000-03-07,-1.9607999999999999
2000-03-08,-1.25
2000-03-09,-1.0127
2000-03-10,0.2558
2000-03-13,-2.9337
2000-03-14,-1.4455
2000-03-15,-2.5333
2000-03-16,-2.052
2000-03-17,0.838
2000-03-20,-1.108
2000-03-21,-1.4006
2000-03-22,-1.1364
2000-03-23,-5.7471
2000-03-24,-9.4512
2000-03-27,2.1886
2000-03-28,2.6359
2000-03-29,-2.0867
2000-03-30,-3.6066000000000003
2000-03-31,8.8435
2000-04-03,0.3125
2000-04-04,-1.8692
2000-04-05,5.7143
2000-04-06,0.9009
2000-04-07,-2.3810000000000002
2000-04-10,-2.7439
2000-04-11,-4.3887
2000-04-12,-1.6393
2000-04-13,-0.6667
2000-04-14,-1.1745
2000-04-17,1.1885
2000-04-18,6.0403
2000-04-19,-2.2152
2000-04-20,-1.2945
2000-04-24,-8.1967
2000-04-25,8.392900000000001
2000-04-26,0.1647
2000-04-27,1.6447
2000-04-28,13.2686
2000-05-01,-2.8571
2000-05-02,-2.5
2000-05-03,-1.2066
2000-05-04,1.6794
2000-05-05,0.3003
2000-05-08,2.3952
2000-05-09,1.7544
2000-05-10,-3.1609
2000-05-11,1.6320000000000001
2000-05-12,-2.1898
2000-05-15,2.6866
2000-05-16,6.3953
2000-05-17,0.4098
2000-05-18,1.2245
2000-05-19,-2.2849
2000-05-22,-2.3384
