ticker,LNV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.3906
2000-01-04,-1.1673
2000-01-05,-0.3937
2000-01-06,-0.3953
2000-01-07,0.7937
2000-01-10,0.7874
2000-01-11,-0.7813
2000-01-12,0.0
2000-01-13,-1.1811
2000-01-14,2.3904
2000-01-18,3.5019
2000-01-19,-0.3759
2000-01-20,1.1320999999999999
2000-01-21,-0.3731
2000-01-24,2.9962999999999997
2000-01-25,-0.7273
2000-01-26,0.7326
2000-01-27,1.0909
2000-01-28,-1.7986
2000-01-31,0.3663
2000-02-01,1.0949
2000-02-02,-1.083
2000-02-03,0.7299
2000-02-04,0.7246
2000-02-07,-1.7986
2000-02-08,1.0989
2000-02-09,-0.7246
2000-02-10,0.365
2000-02-11,0.7273
2000-02-14,1.444
2000-02-15,-0.7117
2000-02-16,1.0753
2000-02-17,1.7730000000000001
2000-02-18,0.0
2000-02-22,0.3484
2000-02-23,-0.6944
2000-02-24,1.3986
2000-02-25,0.6897
2000-02-28,0.0
2000-02-29,0.6849
2000-03-01,0.6803
2000-03-02,1.3514
2000-03-03,0.3333
2000-03-06,2.6578
2000-03-07,0.6472
2000-03-08,-0.3215
2000-03-09,0.9677
2000-03-10,0.9585
2000-03-13,-0.6329
2000-03-14,-1.2739
2000-03-15,-0.6452
2000-03-16,-1.2987
2000-03-17,1.6447
2000-03-20,-0.3236
2000-03-21,-0.6494
2000-03-22,1.3072
2000-03-23,2.5806
2000-03-24,0.6289
2000-03-27,2.5
2000-03-28,1.8293
2000-03-29,-2.3952
2000-03-30,-1.8405
2000-03-31,1.5625
2000-04-03,-8.9231
2000-04-04,-4.0541
2000-04-05,-1.4085
2000-04-06,4.2857
2000-04-07,0.3425
2000-04-10,0.0
2000-04-11,-1.3652
2000-04-12,-2.7682
2000-04-13,-1.7793999999999999
2000-04-14,-9.4203
2000-04-17,2.08
2000-04-18,2.3810000000000002
2000-04-19,0.3876
2000-04-20,0.3861
2000-04-24,0.0
2000-04-25,1.9231
2000-04-26,-1.5093999999999999
2000-04-27,1.5326
2000-04-28,1.8868
2000-05-01,1.1111
2000-05-02,-0.3663
2000-05-03,-0.7353
2000-05-04,-0.7407
2000-05-05,-0.7463
2000-05-08,1.5038
2000-05-09,0.7407
2000-05-10,-0.3676
2000-05-11,0.369
2000-05-12,2.2059
2000-05-15,-0.7194
2000-05-16,0.0
2000-05-17,-2.1739
2000-05-18,-2.963
2000-05-19,-1.5267
2000-05-22,-0.7752
2000-05-23,1.5625
