ticker,CW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.339
2000-01-04,1.0204
2000-01-05,-1.0101
2000-01-06,-0.3401
2000-01-07,0.0
2000-01-10,1.0239
2000-01-11,-0.8446
2000-01-12,0.1704
2000-01-13,0.3401
2000-01-14,-0.339
2000-01-18,0.5102
2000-01-19,-0.1692
2000-01-20,0.0
2000-01-21,-0.5085
2000-01-24,-0.1704
2000-01-25,-1.0239
2000-01-26,-1.3793
2000-01-27,-0.1748
2000-01-28,0.5254
2000-01-31,-0.5226
2000-02-01,-0.3503
2000-02-02,0.0
2000-02-03,3.6907
2000-02-04,-1.0169
2000-02-07,-0.1712
2000-02-08,-1.5436999999999999
2000-02-09,-0.3484
2000-02-10,0.3497
2000-02-11,-0.3484
2000-02-14,-0.5245
2000-02-15,-0.703
2000-02-16,0.0
2000-02-17,0.354
2000-02-18,-0.3527
2000-02-22,-0.885
2000-02-23,1.25
2000-02-24,0.1764
2000-02-25,0.8803
2000-02-28,2.2688
2000-02-29,1.0239
2000-03-01,2.027
2000-03-02,3.6424
2000-03-03,1.5974
2000-03-06,-1.4151
2000-03-07,0.1595
2000-03-08,0.0
2000-03-09,-0.1592
2000-03-10,-0.638
2000-03-13,-2.0867
2000-03-14,-0.3279
2000-03-15,-0.8224
2000-03-16,3.4826
2000-03-17,-1.1218
2000-03-20,0.1621
2000-03-21,-1.6181
2000-03-22,-0.1645
2000-03-23,1.1532
2000-03-24,-1.9544000000000001
2000-03-27,-0.9967
2000-03-28,-1.1745
2000-03-29,0.0
2000-03-30,-0.5093
2000-03-31,0.0
2000-04-03,-0.8532
2000-04-04,0.8606
2000-04-05,4.9488
2000-04-06,0.3252
2000-04-07,-1.6207
2000-04-10,0.1647
2000-04-11,0.0
2000-04-12,-0.1513
2000-04-13,0.0
2000-04-14,-0.8264
2000-04-17,-0.6667
2000-04-18,-1.5101
2000-04-19,-0.3407
2000-04-20,0.1709
2000-04-24,-0.3413
2000-04-25,-2.0548
2000-04-26,-0.1748
2000-04-27,-0.5254
2000-04-28,0.3521
2000-05-01,0.7018
2000-05-02,-0.6969
2000-05-03,0.3509
2000-05-04,0.3497
2000-05-05,0.3484
2000-05-08,-0.5208
2000-05-09,0.349
2000-05-10,-0.8696
2000-05-11,-0.7018
2000-05-12,-1.7668
2000-05-15,0.7194
2000-05-16,-0.8929
2000-05-17,-1.6216
2000-05-18,1.4652
2000-05-19,0.722
2000-05-22,-1.0753
2000-05-23,-0.1812
