ticker,SFYWQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-10.8696
2000-01-04,-2.439
2000-01-05,-1.25
2000-01-06,8.8608
2000-01-07,1.7442
2000-01-10,-0.5714
2000-01-11,0.5747
2000-01-12,1.7143000000000002
2000-01-13,8.9888
2000-01-14,-3.0928
2000-01-18,9.5745
2000-01-19,-3.3981
2000-01-20,-2.0101
2000-01-21,2.5641
2000-01-24,-2.0
2000-01-25,0.5102
2000-01-26,-6.0914
2000-01-27,-3.7838000000000003
2000-01-28,0.5618
2000-01-31,-1.1173
2000-02-01,-1.6949
2000-02-02,0.5747
2000-02-03,4.5714
2000-02-04,1.0929
2000-02-07,-1.0811
2000-02-08,-2.1858
2000-02-09,0.0
2000-02-10,2.7933
2000-02-11,-0.5435
2000-02-14,-3.8251
2000-02-15,6.25
2000-02-16,-2.1390000000000002
2000-02-17,-3.8251
2000-02-18,1.7045
2000-02-22,-3.352
2000-02-23,1.1561
2000-02-24,1.7143000000000002
2000-02-25,2.2472
2000-02-28,-4.3956
2000-02-29,8.6207
2000-03-01,3.7037
2000-03-02,1.5306
2000-03-03,0.5025
2000-03-06,3.0
2000-03-07,3.8834999999999997
2000-03-08,-0.4673
2000-03-09,-2.8169
2000-03-10,-1.4493
2000-03-13,-3.4314
2000-03-14,-4.5685
2000-03-15,0.0
2000-03-16,11.1702
2000-03-17,-3.8278
2000-03-20,2.4876
2000-03-21,0.4854
2000-03-22,0.4831
2000-03-23,5.2885
2000-03-24,10.9589
2000-03-27,-1.6461000000000001
2000-03-28,0.8368
2000-03-29,1.6598000000000002
2000-03-30,8.1633
2000-03-31,7.9245
2000-04-03,4.5455
2000-04-04,-15.7191
2000-04-05,4.7619
2000-04-06,2.6515
2000-04-07,2.583
2000-04-10,-1.4388
2000-04-11,4.7445
2000-04-12,10.8014
2000-04-13,-0.6289
2000-04-14,-8.2278
2000-04-17,0.6897
2000-04-18,4.7945
2000-04-19,-1.3072
2000-04-20,5.9603
2000-04-24,-2.1875
2000-04-25,3.5144
2000-04-26,-1.8519
2000-04-27,2.5157
2000-04-28,0.3067
2000-05-01,3.0581
2000-05-02,5.0445
2000-05-03,-6.2147
2000-05-04,9.3373
2000-05-05,-1.9284
2000-05-08,-3.0899
2000-05-09,0.8696
2000-05-10,-2.5862
2000-05-11,3.2448
2000-05-12,4.5714
2000-05-15,1.0929
2000-05-16,3.2432
2000-05-17,1.8325
2000-05-18,1.7995
2000-05-19,-1.2626
2000-05-22,-1.5345
