ticker,KMRTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-2.4845
2000-01-05,-1.9108
2000-01-06,0.0
2000-01-07,0.6494
2000-01-10,0.0
2000-01-11,-1.2903
2000-01-12,-0.6536
2000-01-13,1.3158
2000-01-14,0.6494
2000-01-18,0.6452
2000-01-19,1.9231
2000-01-20,0.0
2000-01-21,-1.8868
2000-01-24,-5.1282
2000-01-25,0.0
2000-01-26,-2.7027
2000-01-27,-3.4722
2000-01-28,-2.1583
2000-01-31,-2.2059
2000-02-01,4.5113
2000-02-02,2.1583
2000-02-03,1.4085
2000-02-04,-3.4722
2000-02-07,1.4388
2000-02-08,-1.4184
2000-02-09,-2.8777
2000-02-10,-0.7407
2000-02-11,-2.2388
2000-02-14,3.0534
2000-02-15,-2.2222
2000-02-16,-3.7879
2000-02-17,3.9370000000000003
2000-02-18,0.7576
2000-02-22,2.2556
2000-02-23,1.4706000000000001
2000-02-24,-0.7246
2000-02-25,0.7299
2000-02-28,1.4493
2000-02-29,0.7143
2000-03-01,-1.4184
2000-03-02,-5.036
2000-03-03,3.7879
2000-03-06,2.1898
2000-03-07,-2.1429
2000-03-08,1.4599
2000-03-09,-1.4388
2000-03-10,5.1095
2000-03-13,0.6944
2000-03-14,-2.069
2000-03-15,0.7042
2000-03-16,4.1958
2000-03-17,-0.6711
2000-03-20,6.0811
2000-03-21,0.6369
2000-03-22,1.8987
2000-03-23,-0.6211
2000-03-24,-2.5
2000-03-27,-1.9231
2000-03-28,1.9607999999999999
2000-03-29,0.0
2000-03-30,-0.641
2000-03-31,0.0
2000-04-03,-1.9355
2000-04-04,-2.6316
2000-04-05,0.6757
2000-04-06,-2.0134
2000-04-07,2.7397
2000-04-10,0.6667
2000-04-11,-1.9868000000000001
2000-04-12,0.0
2000-04-13,0.6757
2000-04-14,-4.0268
2000-04-17,-3.4965
2000-04-18,-1.4493
2000-04-19,0.0
2000-04-20,2.9412000000000003
2000-04-24,0.0
2000-04-25,-2.8571
2000-04-26,-2.9412000000000003
2000-04-27,-1.5152
2000-04-28,0.0
2000-05-01,1.5385
2000-05-02,3.7879
2000-05-03,-3.6496
2000-05-04,-6.8182
2000-05-05,2.439
2000-05-08,-3.9683
2000-05-09,0.8264
2000-05-10,0.0
2000-05-11,-1.6393
2000-05-12,1.6667
2000-05-15,-2.459
2000-05-16,2.521
2000-05-17,2.459
2000-05-18,6.4
2000-05-19,-1.5038
2000-05-22,-4.5802
2000-05-23,1.6
