ticker,RAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4664
2000-01-04,-2.2989
2000-01-05,0.4706
2000-01-06,2.3419
2000-01-07,2.9748
2000-01-10,-0.6667
2000-01-11,1.1186
2000-01-12,-0.885
2000-01-13,2.6786
2000-01-14,-1.9565000000000001
2000-01-18,-1.7738
2000-01-19,-0.5643
2000-01-20,-0.7946
2000-01-21,-1.373
2000-01-24,1.3921000000000001
2000-01-25,2.9748
2000-01-26,-1.5556
2000-01-27,1.8058999999999998
2000-01-28,-1.3304
2000-01-31,1.3483
2000-02-01,2.2173
2000-02-02,0.4338
2000-02-03,0.432
2000-02-04,0.0
2000-02-07,-0.2151
2000-02-08,0.431
2000-02-09,-0.4292
2000-02-10,-3.6638
2000-02-11,-0.2237
2000-02-14,1.1211
2000-02-15,1.7738
2000-02-16,0.0
2000-02-17,2.5272
2000-02-18,-1.2793
2000-02-22,2.1598
2000-02-23,-3.3827
2000-02-24,-0.2188
2000-02-25,-1.7544
2000-02-28,-0.2232
2000-02-29,1.3423
2000-03-01,-2.649
2000-03-02,-1.5873
2000-03-03,0.2304
2000-03-06,-1.6092
2000-03-07,0.0
2000-03-08,-0.9346
2000-03-09,-1.8868
2000-03-10,-6.0096
2000-03-13,-1.7903
2000-03-14,-1.5625
2000-03-15,5.5556
2000-03-16,4.2607
2000-03-17,-1.9231
2000-03-20,0.9804
2000-03-21,4.1262
2000-03-22,-0.9324
2000-03-23,0.2353
2000-03-24,0.2347
2000-03-27,-4.2155
2000-03-28,3.1785
2000-03-29,0.4739
2000-03-30,6.1321
2000-03-31,-2.2222
2000-04-03,2.2727
2000-04-04,-1.1764999999999999
2000-04-05,-6.5476
2000-04-06,-5.414
2000-04-07,0.6734
2000-04-10,2.3411
2000-04-11,-0.6536
2000-04-12,2.6316
2000-04-13,-1.2821
2000-04-14,-5.5195
2000-04-17,1.7182
2000-04-18,-1.3514
2000-04-19,-1.3699
2000-04-20,1.7361
2000-04-24,0.0
2000-04-25,0.0
2000-04-26,-2.7304
2000-04-27,-4.5614
2000-04-28,4.0441
2000-05-01,-1.7668
2000-05-02,-1.7986
2000-05-03,3.6630000000000003
2000-05-04,0.0
2000-05-05,1.4134
2000-05-08,1.3937
2000-05-09,-0.6873
2000-05-10,0.0
2000-05-11,1.7301
2000-05-12,0.6803
2000-05-15,2.027
2000-05-16,1.9868000000000001
2000-05-17,-1.6234
2000-05-18,-0.2904
2000-05-19,-0.9967
2000-05-22,-2.0134
