ticker,GBP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.4271
2000-01-04,-1.0899
2000-01-05,0.2755
2000-01-06,0.5495
2000-01-07,0.2732
2000-01-10,-0.2725
2000-01-11,-0.8197
2000-01-12,0.0
2000-01-13,-0.2755
2000-01-14,-0.2762
2000-01-18,0.277
2000-01-19,-0.5525
2000-01-20,-1.1111
2000-01-21,-0.2809
2000-01-24,-1.6901000000000002
2000-01-25,1.4327
2000-01-26,0.8475
2000-01-27,-2.2409
2000-01-28,-1.1461000000000001
2000-01-31,0.5797
2000-02-01,0.5764
2000-02-02,0.8596
2000-02-03,2.8409
2000-02-04,0.2762
2000-02-07,-0.8264
2000-02-08,-0.2778
2000-02-09,0.0
2000-02-10,-0.8357
2000-02-11,0.5618
2000-02-14,1.1173
2000-02-15,-0.8287
2000-02-16,-0.8357
2000-02-17,0.0
2000-02-18,-0.2809
2000-02-22,1.4085
2000-02-23,0.2778
2000-02-24,-0.831
2000-02-25,0.2793
2000-02-28,0.0
2000-02-29,-2.2284
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,-0.2849
2000-03-06,0.2857
2000-03-07,-1.7094
2000-03-08,0.2899
2000-03-09,-0.289
2000-03-10,0.2899
2000-03-13,-0.578
2000-03-14,3.4884
2000-03-15,-0.9888
2000-03-16,4.0698
2000-03-17,-0.838
2000-03-20,0.5634
2000-03-21,0.5602
2000-03-22,1.6713
2000-03-23,0.5479
2000-03-24,1.0899
2000-03-27,0.0
2000-03-28,-2.6954000000000002
2000-03-29,-0.831
2000-03-30,-0.2793
2000-03-31,0.8403
2000-04-03,-0.2778
2000-04-04,1.3928
2000-04-05,0.8242
2000-04-06,1.9074
2000-04-07,0.2674
2000-04-10,0.2667
2000-04-11,0.266
2000-04-12,-0.5305
2000-04-13,0.8
2000-04-14,-0.2646
2000-04-17,0.5305
2000-04-18,0.7916
2000-04-19,0.0
2000-04-20,0.2618
2000-04-24,-0.5222
2000-04-25,0.7874
2000-04-26,0.0
2000-04-27,0.0
2000-04-28,0.0
2000-05-01,1.3021
2000-05-02,1.5424
2000-05-03,-0.7595
2000-05-04,0.5102
2000-05-05,2.2843
2000-05-08,-0.7444
2000-05-09,-2.0
2000-05-10,-1.2755
2000-05-11,1.0336
2000-05-12,0.2558
2000-05-15,0.0
2000-05-16,-0.2551
2000-05-17,-0.2558
2000-05-18,0.2564
2000-05-19,0.0
2000-05-22,0.2558
2000-05-23,0.0
2000-05-24,0.0
2000-05-25,-0.5102
