ticker,WNDXQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.5222
2000-01-04,0.0
2000-01-05,2.0997
2000-01-06,-2.5707
2000-01-07,1.0554
2000-01-10,-4.1775
2000-01-11,2.7248
2000-01-12,1.9523000000000001
2000-01-13,-0.7833
2000-01-14,-4.4737
2000-01-18,1.3774
2000-01-19,-1.9022000000000001
2000-01-20,1.108
2000-01-21,-3.5616
2000-01-24,-3.4091
2000-01-25,-2.0588
2000-01-26,0.3003
2000-01-27,2.0958
2000-01-28,-6.1584
2000-01-31,1.25
2000-02-01,-3.7037
2000-02-02,0.641
2000-02-03,-3.8217
2000-02-04,-3.3113
2000-02-07,1.3699
2000-02-08,1.0135
2000-02-09,-4.6823
2000-02-10,-2.4561
2000-02-11,-2.0288
2000-02-14,-0.369
2000-02-15,1.1111
2000-02-16,-0.3663
2000-02-17,-2.2059
2000-02-18,-3.0075
2000-02-22,1.1628
2000-02-23,-3.4483
2000-02-24,-6.746
2000-02-25,6.8085
2000-02-28,4.7809
2000-02-29,-1.9011
2000-03-01,-0.3876
2000-03-02,-0.7782
2000-03-03,-0.3922
2000-03-06,1.5748
2000-03-07,-2.7132
2000-03-08,2.7888
2000-03-09,-0.3876
2000-03-10,-2.3346
2000-03-13,3.3307
2000-03-14,-1.938
2000-03-15,4.3478
2000-03-16,7.197
2000-03-17,4.5936
2000-03-20,-6.0811
2000-03-21,2.518
2000-03-22,-1.5351
2000-03-23,-1.9375
2000-03-24,0.6585
2000-03-27,1.444
2000-03-28,6.0498
2000-03-29,4.3624
2000-03-30,-0.9646
2000-03-31,0.974
2000-04-03,-1.9293
2000-04-04,4.5902
2000-04-05,-0.9404
2000-04-06,0.9494
2000-04-07,0.627
2000-04-10,-1.2461
2000-04-11,5.0473
2000-04-12,-1.3934
2000-04-13,-3.3639
2000-04-14,-3.1646
2000-04-17,-1.9607999999999999
2000-04-18,-2.3333
2000-04-19,4.0956
2000-04-20,-3.9344
2000-04-24,-0.6826
2000-04-25,-1.0309
2000-04-26,-2.7778
2000-04-27,-4.6429
2000-04-28,-0.7491
2000-05-01,0.3774
2000-05-02,0.3759
2000-05-03,-3.3708
2000-05-04,1.1628
2000-05-05,-1.5326
2000-05-08,-0.3891
2000-05-09,2.7344
2000-05-10,1.1407
2000-05-11,0.5113
2000-05-12,-3.7594
2000-05-15,0.7813
2000-05-16,1.5504
2000-05-17,-2.2901
2000-05-18,0.0
2000-05-19,-1.5625
2000-05-22,0.0
