ticker,CMU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.1364
2000-01-04,1.1236
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,1.1111
2000-01-10,1.0989
2000-01-11,-3.2609
2000-01-12,4.4944
2000-01-13,-2.1505
2000-01-14,-2.1978
2000-01-18,3.3708
2000-01-19,-1.087
2000-01-20,-2.1978
2000-01-21,0.0
2000-01-24,2.2472
2000-01-25,-1.0989
2000-01-26,2.2222
2000-01-27,1.7217
2000-01-28,0.0
2000-01-31,-2.1505
2000-02-01,-1.0989
2000-02-02,2.2222
2000-02-03,2.1739
2000-02-04,0.0
2000-02-07,-3.1915
2000-02-08,1.0989
2000-02-09,-2.1739
2000-02-10,2.2222
2000-02-11,0.0
2000-02-14,-1.087
2000-02-15,-1.0989
2000-02-16,-2.2222
2000-02-17,2.2727
2000-02-18,-2.2222
2000-02-22,1.1364
2000-02-23,-1.1236
2000-02-24,2.2727
2000-02-25,-2.6844
2000-02-28,0.0
2000-02-29,-1.1494
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,2.3256
2000-03-06,0.0
2000-03-07,-2.2727
2000-03-08,0.0
2000-03-09,-1.1628
2000-03-10,-1.1764999999999999
2000-03-13,1.1905000000000001
2000-03-14,0.0
2000-03-15,4.7059
2000-03-16,-2.2472
2000-03-17,-1.1494
2000-03-20,2.3256
2000-03-21,-2.2727
2000-03-22,2.3256
2000-03-23,1.1364
2000-03-24,-1.1236
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,-0.4727
2000-03-30,2.2989
2000-03-31,-1.1236
2000-04-03,2.2727
2000-04-04,-2.2222
2000-04-05,2.2727
2000-04-06,-1.1111
2000-04-07,0.0
2000-04-10,-1.1236
2000-04-11,1.1364
2000-04-12,0.0
2000-04-13,-1.1236
2000-04-14,-1.1364
2000-04-17,3.4483
2000-04-18,-2.2222
2000-04-19,1.1364
2000-04-20,1.1236
2000-04-24,0.0
2000-04-25,0.0
2000-04-26,-0.4622
2000-04-27,-1.1236
2000-04-28,-1.1364
2000-05-01,0.0
2000-05-02,-1.1494
2000-05-03,1.1628
2000-05-04,-1.1494
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,2.3256
2000-05-10,-1.1364
2000-05-11,0.0
2000-05-12,1.1494
2000-05-15,1.1364
2000-05-16,0.0
2000-05-17,-1.1236
2000-05-18,0.0
2000-05-19,0.0
2000-05-22,2.2727
2000-05-23,-1.1111
2000-05-24,0.0
2000-05-25,0.0
