ticker,MGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-23,0.5128
2004-06-24,2.2959
2004-06-25,0.2494
2004-06-28,0.2488
2004-06-29,-0.1489
2004-06-30,2.3857
2004-07-01,3.0583
2004-07-02,3.674
2004-07-06,0.9087
2004-07-07,0.8555
2004-07-08,-0.2232
2004-07-09,1.387
2004-07-12,0.3972
2004-07-13,-1.0989
2004-07-14,0.6667
2004-07-15,-0.6623
2004-07-16,-0.9778
2004-07-19,0.1795
2004-07-20,-0.5376
2004-07-21,-2.2523
2004-07-22,-1.4285999999999999
2004-07-23,-0.8883
2004-07-26,0.7075
2004-07-27,0.0468
2004-07-28,0.8427
2004-07-29,-11.792
2004-07-30,-1.5789
2004-08-02,0.5348
2004-08-03,-2.3404
2004-08-04,-0.5991
2004-08-05,-1.3699
2004-08-06,-2.2222
2004-08-09,0.3409
2004-08-10,-2.0951
2004-08-11,-1.2146
2004-08-12,-0.4098
2004-08-13,-0.9994
2004-08-16,-2.0784
2004-08-17,1.2129
2004-08-18,-0.8388
2004-08-19,-0.6647
2004-08-20,-0.2433
2004-08-23,1.5244
2004-08-24,2.1021
2004-08-25,-3.0
2004-08-26,1.0309
2004-08-27,0.2401
2004-08-30,-1.4969999999999999
2004-08-31,1.5198
2004-09-01,2.0958
2004-09-02,-0.7625
2004-09-03,-1.7730000000000001
2004-09-07,4.0313
2004-09-08,-0.9832
2004-09-09,2.278
2004-09-10,1.0851
2004-09-13,-2.1469
2004-09-14,-0.3464
2004-09-15,-0.5797
2004-09-16,-0.1749
2004-09-17,1.9276
2004-09-20,-1.7191999999999998
2004-09-21,0.758
2004-09-22,-0.4051
2004-09-23,-0.6973
2004-09-24,0.2341
2004-09-27,-0.8173
2004-09-28,-0.0589
2004-09-29,0.0589
2004-09-30,0.5297
2004-10-01,2.7518000000000002
2004-10-04,-1.2536
2004-10-05,-0.2885
2004-10-06,4.456
2004-10-07,-0.277
2004-10-08,0.1667
2004-10-11,-0.3882
2004-10-12,0.7795
2004-10-13,-1.6575
2004-10-14,0.8427
2004-10-15,1.6713
2004-10-18,-2.0274
2004-10-19,-2.7964
2004-10-20,-1.5535
2004-10-21,-1.2274
2004-10-22,0.4142
2004-10-25,2.0625
2004-10-26,0.9815
2004-10-27,6.2893
2004-10-28,1.2372
2004-10-29,-1.169
2004-11-01,0.0
2004-11-02,1.6129
2004-11-03,1.5344
2004-11-04,0.8859
2004-11-05,-0.9298
2004-11-08,-4.6924
2004-11-09,0.8753
