ticker,RYN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2342
2000-01-04,-1.738
2000-01-05,2.9932
2000-01-06,0.1321
2000-01-07,-0.5277
2000-01-10,-0.9284
2000-01-11,-0.8032
2000-01-12,-0.9447
2000-01-13,-0.2725
2000-01-14,1.6393
2000-01-18,-5.6452
2000-01-19,-2.9915000000000003
2000-01-20,0.2937
2000-01-21,-3.2211
2000-01-24,-4.8411
2000-01-25,-0.159
2000-01-26,-0.6369
2000-01-27,0.8013
2000-01-28,6.8362
2000-01-31,2.3810000000000002
2000-02-01,-2.907
2000-02-02,-0.2994
2000-02-03,0.9009
2000-02-04,0.2976
2000-02-07,-3.5608
2000-02-08,-0.6154
2000-02-09,0.0
2000-02-10,-1.3932
2000-02-11,-0.9419
2000-02-14,1.7433
2000-02-15,2.9595000000000002
2000-02-16,-1.059
2000-02-17,0.1529
2000-02-18,-2.9008000000000003
2000-02-22,0.0
2000-02-23,1.2579
2000-02-24,-3.1056
2000-02-25,-2.0833
2000-02-28,-1.3093
2000-02-29,5.4726
2000-03-01,-1.8868
2000-03-02,-0.8013
2000-03-03,5.9774
2000-03-06,-4.7256
2000-03-07,-5.12
2000-03-08,1.4772
2000-03-09,-1.1745
2000-03-10,0.5093
2000-03-13,-0.5068
2000-03-14,-2.8862
2000-03-15,6.2937
2000-03-16,11.6776
2000-03-17,-4.7128
2000-03-20,4.4822
2000-03-21,-0.2959
2000-03-22,-0.5935
2000-03-23,7.1642
2000-03-24,-1.1142
2000-03-27,-0.8451
2000-03-28,-6.5341000000000005
2000-03-29,8.0547
2000-03-30,2.391
2000-03-31,7.1429
2000-04-03,-1.1538
2000-04-04,-0.7782
2000-04-05,-0.7843
2000-04-06,-4.3478
2000-04-07,-1.1019
2000-04-10,3.3426
2000-04-11,1.8868
2000-04-12,-1.8519
2000-04-13,1.8868
2000-04-14,-3.836
2000-04-17,-0.8253
2000-04-18,-0.4161
2000-04-19,-0.8357
2000-04-20,-1.1236
2000-04-24,-0.2841
2000-04-25,8.1197
2000-04-26,-0.7905
2000-04-27,-3.0544
2000-04-28,2.8767
2000-05-01,0.3995
2000-05-02,-1.7241
2000-05-03,-0.5398
2000-05-04,-2.3066
2000-05-05,3.75
2000-05-08,-1.7403
2000-05-09,0.0
2000-05-10,-0.1362
2000-05-11,-0.5457
2000-05-12,-3.0178
2000-05-15,1.2730000000000001
2000-05-16,0.1397
2000-05-17,-0.5579
2000-05-18,-0.9818
2000-05-19,-2.1246
