ticker,FLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-1.1976
2000-01-05,0.6061
2000-01-06,-3.6145
2000-01-07,-0.625
2000-01-10,-0.6289
2000-01-11,-0.4747
2000-01-12,-1.1129
2000-01-13,-0.3215
2000-01-14,-2.0968
2000-01-18,1.8122
2000-01-19,-0.4854
2000-01-20,6.0163
2000-01-21,19.0184
2000-01-24,-7.2165
2000-01-25,-3.0556
2000-01-26,3.0086
2000-01-27,-6.2587
2000-01-28,-0.2967
2000-01-31,-4.1667
2000-02-01,1.3975
2000-02-02,5.3599
2000-02-03,-1.1628
2000-02-04,2.0588
2000-02-07,0.0
2000-02-08,-3.17
2000-02-09,-0.8929
2000-02-10,0.6006
2000-02-11,-0.8955
2000-02-14,0.4518
2000-02-15,0.4498
2000-02-16,-0.2985
2000-02-17,-0.5988
2000-02-18,-1.2048
2000-02-22,0.0
2000-02-23,0.6098
2000-02-24,-1.0606
2000-02-25,-1.072
2000-02-28,-3.3437
2000-02-29,4.4872
2000-03-01,1.227
2000-03-02,-1.9697
2000-03-03,0.7728
2000-03-06,-2.454
2000-03-07,-0.6289
2000-03-08,2.8481
2000-03-09,7.3846
2000-03-10,0.0
2000-03-13,-2.2923
2000-03-14,2.9326
2000-03-15,0.0
2000-03-16,2.5641
2000-03-17,1.1111
2000-03-20,0.8242
2000-03-21,-1.0899
2000-03-22,0.551
2000-03-23,2.1918
2000-03-24,0.134
2000-03-27,-0.8032
2000-03-28,-1.6194
2000-03-29,3.9781
2000-03-30,-2.3747
2000-03-31,4.8649000000000004
2000-04-03,-3.3505
2000-04-04,-1.8667
2000-04-05,4.212
2000-04-06,2.086
2000-04-07,0.1277
2000-04-10,-4.0816
2000-04-11,1.0638
2000-04-12,0.0
2000-04-13,1.5789
2000-04-14,0.2591
2000-04-17,-0.2584
2000-04-18,0.0
2000-04-19,-0.5181
2000-04-20,0.1302
2000-04-24,-0.13
2000-04-25,4.0365
2000-04-26,-1.2516
2000-04-27,0.3802
2000-04-28,-0.6313
2000-05-01,0.1271
2000-05-02,-0.7614
2000-05-03,-4.0921
2000-05-04,-2.5333
2000-05-05,2.8728
2000-05-08,4.7872
2000-05-09,-2.2843
2000-05-10,-3.3766
2000-05-11,1.0753
2000-05-12,2.6596
2000-05-15,0.3886
2000-05-16,0.129
2000-05-17,-1.933
2000-05-18,-0.657
2000-05-19,-0.3968
2000-05-22,-0.5312
2000-05-23,-4.2724
2000-05-24,3.7657
