ticker,BAU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.8299
2000-01-04,0.0
2000-01-05,0.0
2000-01-06,4.6025
2000-01-07,-1.2
2000-01-10,0.0
2000-01-11,-0.8097
2000-01-12,2.449
2000-01-13,2.7888
2000-01-14,1.5504
2000-01-18,1.145
2000-01-19,0.0
2000-01-20,1.1320999999999999
2000-01-21,-1.1194
2000-01-24,0.0
2000-01-25,-1.8868
2000-01-26,0.3846
2000-01-27,-0.7663
2000-01-28,-0.3861
2000-01-31,-3.1008
2000-02-01,0.8
2000-02-02,-3.1746
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,-1.6393
2000-02-08,-0.4167
2000-02-09,4.6025
2000-02-10,4.0
2000-02-11,0.3846
2000-02-14,4.5977
2000-02-15,-0.3663
2000-02-16,-1.8382
2000-02-17,0.0
2000-02-18,-1.4981
2000-02-22,-1.9011
2000-02-23,-0.3876
2000-02-24,-3.5019
2000-02-25,-6.0484
2000-02-28,2.5751
2000-02-29,0.8368
2000-03-01,3.3195
2000-03-02,-3.2129
2000-03-03,-0.4149
2000-03-06,0.0
2000-03-07,1.6667
2000-03-08,-0.8197
2000-03-10,-0.8264
2000-03-13,0.0
2000-03-14,0.0
2000-03-15,0.0
2000-03-16,-0.8333
2000-03-17,1.2605
2000-03-20,1.2448
2000-03-21,1.6393
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,-2.4194
2000-03-27,0.0
2000-03-28,-0.4132
2000-03-29,0.4149
2000-03-30,0.8264
2000-03-31,2.459
2000-04-03,1.6
2000-04-04,3.1496
2000-04-05,3.0534
2000-04-06,-0.7407
2000-04-07,0.0
2000-04-10,-0.7463
2000-04-11,0.7519
2000-04-12,-1.4925
2000-04-13,3.0303
2000-04-14,0.7353
2000-04-17,11.6788
2000-04-18,8.4967
2000-04-19,1.2048
2000-04-20,-0.5952
2000-04-24,-2.0958
2000-04-25,-3.3639
2000-04-26,0.6329
2000-04-27,-0.6289
2000-04-28,0.6329
2000-05-01,2.5157
2000-05-02,-1.227
2000-05-03,0.3106
2000-05-04,-1.2384
2000-05-05,-1.8809
2000-05-08,-0.3195
2000-05-09,0.0
2000-05-10,0.3205
2000-05-11,0.9585
2000-05-12,1.8987
2000-05-15,4.3478
2000-05-16,2.0833
2000-05-17,2.0408
2000-05-18,0.0
2000-05-19,-2.2857
2000-05-22,0.5848
2000-05-23,0.2907
2000-05-24,-1.1594
2000-05-25,-0.8798
2000-05-30,-3.5503
