ticker,DBD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8617
2000-01-04,-1.355
2000-01-05,0.8242
2000-01-06,2.1798
2000-01-07,6.9333
2000-01-10,1.995
2000-01-11,1.2225
2000-01-12,-5.0725
2000-01-13,2.5445
2000-01-14,-0.7444
2000-01-18,2.5
2000-01-19,-3.4146
2000-01-20,-2.7778
2000-01-21,-0.5195
2000-01-24,-3.1332
2000-01-25,-0.8086
2000-01-26,-2.1739
2000-01-27,2.2222
2000-01-28,-5.9783
2000-01-31,2.6012
2000-02-01,-0.8451
2000-02-02,1.7045
2000-02-03,1.1173
2000-02-04,0.2762
2000-02-07,-1.9284
2000-02-08,-1.4045
2000-02-09,7.6923
2000-02-10,-2.9101
2000-02-11,1.3624
2000-02-14,-0.8065
2000-02-15,1.626
2000-02-16,0.128
2000-02-17,-0.2681
2000-02-18,-1.3441
2000-02-22,0.0
2000-02-23,7.6294
2000-02-24,-3.7975
2000-02-25,1.5789
2000-02-28,-2.5907
2000-02-29,4.2553
2000-03-01,1.0204
2000-03-02,-0.7576
2000-03-03,3.8167999999999997
2000-03-06,-0.7353
2000-03-07,-1.7284000000000002
2000-03-08,-1.2563
2000-03-09,2.5445
2000-03-10,-3.4739
2000-03-13,-1.5424
2000-03-14,2.0888
2000-03-15,7.4169
2000-03-16,-2.1429
2000-03-17,4.1363
2000-03-20,-1.4019
2000-03-21,-0.9479
2000-03-22,6.2201
2000-03-23,1.3514
2000-03-24,-3.1111
2000-03-27,-1.3761
2000-03-28,-3.7209
2000-03-29,-3.6231999999999998
2000-03-30,2.2556
2000-03-31,7.8431
2000-04-03,-5.6818
2000-04-04,0.4819
2000-04-05,1.9184999999999999
2000-04-06,1.6471
2000-04-07,-0.463
2000-04-10,-2.7907
2000-04-11,4.7847
2000-04-12,-0.4566
2000-04-13,1.6055000000000001
2000-04-14,-4.2889
2000-04-17,4.717
2000-04-18,7.6577
2000-04-19,-6.0669
2000-04-20,-1.7816999999999998
2000-04-24,0.4535
2000-04-25,11.9639
2000-04-26,-4.2339
2000-04-27,-1.6842000000000001
2000-04-28,-1.0707
2000-05-01,0.8658
2000-05-02,-2.1459
2000-05-03,0.8772
2000-05-04,7.1739
2000-05-05,3.4483
2000-05-08,-2.3529
2000-05-09,-3.8153
2000-05-10,-0.5261
2000-05-11,1.4768
2000-05-12,0.0
2000-05-15,0.4158
2000-05-16,3.7267
2000-05-17,-0.5988
2000-05-18,-3.6145
2000-05-19,-0.8333
